Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
46,177,TAGUATUR RACING TEAM,Brazil,MARCELO MEDEIROS,18,30,13,3,57,22,0,0,0,3
47,86,TEAM ALL TRACKS,France,CHARLIE HERBST,18,32,33,3,59,42,0,0,0,3
48,172,YAMAHA RACING - SMX - DRAG'ON,France,ALEXANDRE GIROUD,18,37,34,4,4,43,0,15,0,3
49,99,XRAIDS EXPERIENCE,Argentina,JUAN SANTIAGO ROSTAN,18,38,38,4,5,47,0,0,0,3
50,106,UNIVERSAL RIDE,France,JEROME BAS,18,39,22,4,6,31,0,27,0,3
51,101,ORION - MOTO RACING GROUP,Czech Republic,MARTIN PROKES,18,40,36,4,7,45,0,0,0,3
52,148,BAS WORLD KTM RACING TEAM,Chile,TOMAS DE GAVARDO,18,42,15,4,9,24,0,1,0,3
53,81,KOVE,China,FANG XIANGLIANG,18,48,10,4,15,19,0,1,0,3
54,61,SP MOTO BOHEMIA,Czech Republic,DAVID PABISKA,18,55,30,4,22,39,0,6,10,3
55,110,FANTIC RACING,United Kingom,JANE DANIELS,19,4,21,4,31,30,0,0,0,3
56,112,DAKAR 4 DAKAR,Italy,GIOELE MEONI,19,18,56,4,46,5,0,4,0,3
57,105,NOMADE RACING,France,JULIEN DALBEC,19,19,27,4,46,36,0,2,0,3
58,87,PODMOL DAKAR TEAM,Czech Republic,LIBOR PODMOL,19,30,57,4,58,6,0,0,30,3
59,170,STORY Racing,Lithuania,LAISVYDAS KANCIUS,19,40,18,5,7,27,0,2,0,3
60,97,JP1 KEWS DAKAR RALLY TEAM,Ecuador,JUAN PUGA,19,40,20,5,7,29,0,2,0,3
61,117,ALL1 TEAM,Spain,JOSEP MARTI SUÑER,19,52,43,5,19,52,0,0,20,3
62,107,DNA AIR FILTERS- ENDURO GREECE,Greece,VASILEIOS BOUDROS,19,54,17,5,21,26,0,0,0,3
63,102,ORION - MOTO RACING GROUP,Poland,BARTLOMIEJ TABIN,19,58,8,5,25,17,0,0,0,3
64,111,NOMADE RACING,Germany,YAEL KADSHAI,20,2,10,5,29,19,0,0,0,3
65,139,FlexitGO Dakar Team,Lithuania,MODESTAS SILIUNAS,20,9,6,5,36,15,0,32,0,3
66,104,TLDRACING,France,JEREMIE GERBER,20,10,22,5,37,31,0,0,0,3
67,93,VENDETTA RACING UAE,United Kingom,DAVID MCBRIDE,20,23,15,5,50,24,0,5,0,3
68,127,Nomade Expert Mining Solution ,South Africa,RONALD VENTER,20,24,55,5,52,4,0,0,0,3
69,75,ZERO MILEAGE RALLY TEAM,China,ZHANG MIN,20,30,5,5,57,14,0,0,0,3
70,78,ZERO MILEAGE RALLY TEAM,China,ZHAO HONGYI,20,41,32,6,8,41,0,0,0,3
71,94,VENDETTA RACING UAE,Ireland,ORAN O'KELLY,20,41,38,6,8,47,0,2,0,3
72,83,NOMADE RACING,France,FABIEN DOMAS,20,43,38,6,10,47,0,8,0,3
73,123,TOUAREG IBIZA - EIVISSA ESPORTS,Italy,FABIO LOTTERO,20,54,31,6,21,40,0,0,0,3
74,100,STUART GREGORY,South Africa,STUART GREGORY,20,54,35,6,21,44,0,6,0,3
75,40,Pont Grup - Yamaha,Spain,JAVI VEGA,20,55,41,6,22,50,0,43,10,3
76,49,KOVE ITALIA,Italy,CESARE ZACCHETTI,20,58,57,6,26,6,0,0,0,3
77,72,NOMADE RACING,France,PHILIPPE GENDRON,20,59,10,6,26,19,0,2,0,3
78,74,MÔLEAGRIFOREST / COMAS MOTOS,France,MICHAEL JACOBI,21,1,9,6,28,18,0,27,0,3
79,120,HT RALLY RAID HUSQVARNA RACING,Belgium,JORIS VAN DYCK,21,5,29,6,32,38,0,0,0,3
80,80,CLUB AVENTURA TOUAREG,Portugal,ALEXANDRE AZINHAIS,21,6,46,6,33,55,0,0,0,3
81,84,Rally POV,Italy,TIZIANO INTERNO,21,10,50,6,37,59,0,0,0,3
82,133,#UNDAKARPOURDELESPOIR,France,BRUNO LEBLANC,21,11,7,6,38,16,0,2,0,3
83,64,TEAM GP MOTORS,France,ROMAIN DUCHENE,21,18,35,6,45,44,0,0,0,3
84,176,VISIT SANT ANTONI - IBIZA,Spain,TONI VINGUT,21,25,31,6,52,40,0,0,0,3
85,119,ALL1 TEAM ,Spain,JAVIER AMAT DE CARALT,21,26,11,6,53,20,0,8,0,3
86,66,BAS WORLD KTM RACING TEAM,Japan,YOSHIO IKEMACHI,21,35,32,7,2,41,0,0,0,3
87,65,GUILLAUME CHOLLET,France,GUILLAUME CHOLLET,21,39,42,7,6,51,0,15,0,3
88,59,BAS WORLD KTM RACING TEAM,Guatemala,FRANCISCO ARREDONDO,21,46,49,7,13,58,0,0,0,3
89,67,XRAIDS EXPERIENCE,Chile,JOHN WILLIAM MEDINA SALAZAR,21,55,42,7,22,51,0,15,0,3
90,79,HORIZON MOTO 95,France,AMAURY BARATIN,21,57,43,7,24,52,0,0,0,3
91,175,CFMOTO THUNDER RACING TEAM,Lithuania,ANTANAS KANOPKINAS,21,58,4,7,25,13,0,1,0,3
92,129,TEAM DUMONTIER RACING,France,SÉBASTIEN HERBET,22,4,47,7,31,56,0,36,0,3
93,71,TUTTOGRU,Italy,FRANCESCO CATANESE,22,12,35,7,39,44,0,4,0,3
94,128,Max BIANUCCI Nomade Racing,France,MAX BIANUCCI,22,13,56,7,41,5,0,0,0,3
95,146,CLUB AVENTURA TOUAREG,Portugal,GAD NACHMANI,22,17,18,7,44,27,0,0,0,3
96,32,AMERICAN RALLY ORIGINALS,United States,KYLE MC COY,22,19,33,7,46,42,0,0,0,3
97,38,TEAM BENERGY MONFORTE RALLY - GALICIA CA,Spain,EDUARDO IGLESIAS SANCHEZ,22,22,2,7,49,11,0,15,0,3
98,138,HT RALLY RAID HUSQVARNA RACING,Belgium,PIERRE SAEYS,22,25,19,7,52,28,0,39,0,3
99,137,HT RALLY RAID HUSQVARNA RACING,Belgium,GWEN BACKX,22,25,28,7,52,37,0,30,0,3
100,136,HT RALLY RAID HUSQVARNA RACING,United States,WESTON CARR,22,29,31,7,56,40,0,16,0,3
101,90,NOMADE RACING,France,LOIS D'ABBADIE,22,31,8,7,58,17,0,0,0,3
102,51,MELILLA CIUDAD DEL DEPORTE,Spain,RACHID AL-LAL LAHADIL,22,33,27,8,0,36,0,0,0,3
103,114,ALL1 TEAM,Spain,CARLOS LLIBRE BELTRI,22,34,10,8,1,19,0,2,40,3
104,113,XRAIDS EXPERIENCE,Argentina,SEBASTIAN ALBERTO URQUIA,22,35,7,8,2,16,0,1,0,3
105,132,TEAM RAF,France,ANDY BEAUCOUD,22,35,41,8,2,50,0,30,0,3
106,131,TEAM RAF,France,ANTHONY FABRE,22,35,49,8,2,58,0,31,10,3
107,89,HT RALLY RAID HUSQVARNA RACING,Austria,ARDIT KURTAJ,23,6,5,8,33,14,0,0,10,3
108,145,HT RALLY RAID HUSQVARNA RACING,Mongolia,GANZORIG CHULUUN,23,8,39,8,35,48,0,15,10,3
109,144,HT RALLY RAID HUSQVARNA RACING,Uruguay,FABIAN VON THUENGEN,23,11,37,8,38,46,0,15,0,3
110,126,PEDREGA TEAM,Spain,MARIO GARRIDO,23,25,3,8,52,12,0,1,0,3
111,116,ALL1 TEAM,Spain,XAVIER PES BOSCK,23,39,30,9,6,39,0,1,0,3
112,141,VB X KRAY&CO,France,VINCENT BIAU,23,47,51,9,15,0,0,30,0,3
113,98,KORR OFFROAD RACING,United States,MASON KLEIN,23,52,43,9,19,52,0,38,0,3
114,130,JOYRACE / ACAMPOS,Spain,JAVIER CAMPOS DONO,23,54,19,9,21,28,0,31,10,3
115,122,HALEEM,Saudi Arabia,ABDULHALIM ALMOGHEERA,24,28,39,9,55,48,0,42,0,3
