week,player,qbr,qb_plays,player_id,player_name,position,position_group,season,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks,sack_yards,fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,pct_total,result
1,Kyler Murray,49.4,46,00-0035228,K.Murray,QB,QB,2025,REG,2025_01_ARI_NO,ARI,NO,21,29,163,2,0,5,-33,0,0,166,100,11,1.5247993258601382,-1.733811045515126,0,0.9819277108433735,7,38,0,0,0,4,2.7410602860618383,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,18.32,18.32,60.60606060606061,7
1,Jared Goff,48.2,45,00-0033106,J.Goff,QB,QB,2025,REG,2025_01_DET_GB,DET,GB,31,39,225,1,1,4,-25,0,0,163,121,13,1.3743778578947285,11.339418903777474,0,1.3803680981595092,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,10.9,10.9,32.5,-14
1,J.J. McCarthy,47.1,31,00-0039923,J.McCarthy,QB,QB,2025,REG,2025_01_MIN_CHI,MIN,CHI,13,20,143,2,1,3,-9,0,0,117,68,5,-9.816290898994502,-3.2609406113624573,1,1.2222222222222223,2,25,1,0,0,2,3.378993604099378,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,22.22,22.22,52.94117647058824,3
1,Spencer Rattler,45,55,00-0039376,S.Rattler,QB,QB,2025,REG,2025_01_ARI_NO,NO,ARI,27,46,214,0,0,1,-6,0,0,336,85,12,-3.9408611252955135,-4.9585028392512625,0,0.6369047619047619,4,29,0,0,0,1,1.8226003315648995,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,11.46,11.46,39.39393939393939,-7
1,Drake Maye,42,59,00-0039851,D.Maye,QB,QB,2025,REG,2025_01_LV_NE,NE,LV,30,46,287,1,1,4,-11,1,0,353,114,15,-0.32563244291394744,2.388444874021742,0,0.8130311614730878,4,11,0,0,0,0,-1.0414035002468154,0,1,1,2,0,0,0,-8,10,0,-1.3293322010431439,0,0,0.022222222222222223,-0.0226628895184136,0.017469310670443813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,14.780000000000001,15.780000000000001,39.39393939393939,-7
1,C.J. Stroud,40.2,40,00-0039163,C.Stroud,QB,QB,2025,REG,2025_01_HOU_LA,HOU,LA,19,27,188,0,1,3,-37,0,0,172,73,7,-4.065033344958763,-0.9746561447779337,0,1.0930232558139534,5,32,0,0,0,3,5.637464377312669,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,8.72,8.72,39.130434782608695,-5
1,Joe Flacco,30.6,54,00-0026158,J.Flacco,QB,QB,2025,REG,2025_01_CIN_CLE,CLE,CIN,31,45,290,1,2,2,-12,0,0,273,173,13,-1.8421275162300694,2.374263036818731,0,1.0622710622710623,2,6,0,0,0,1,0.13438333320664242,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,12.2,12.2,48.484848484848484,-1
1,Bryce Young,22.8,43,00-0039150,B.Young,QB,QB,2025,REG,2025_01_CAR_JAX,CAR,JAX,18,35,154,1,2,1,-12,0,0,269,60,8,-15.40268957134174,-12.371582757024203,0,0.5724907063197026,5,40,0,1,1,2,1.8774604791542515,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,8.16,8.16,27.77777777777778,-16
1,Russell Wilson,20.5,51,00-0029263,R.Wilson,QB,QB,2025,REG,2025_01_NYG_WAS,NYG,WAS,17,37,168,0,0,2,-11,0,0,226,84,9,-11.39383654077999,-13.457901123911142,0,0.7433628318584071,8,44,0,1,0,3,2.0431199607555754,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,11.120000000000001,11.120000000000001,22.22222222222222,-15
1,Bo Nix,15.6,52,00-0039732,B.Nix,QB,QB,2025,REG,2025_01_TEN_DEN,DEN,TEN,25,40,176,1,2,1,-10,1,1,213,94,9,-7.6557667409744266,-1.6720025120554745,0,0.8262910798122066,8,18,0,0,0,2,-5.084191289963201,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,6.84,6.84,62.5,8
