Page,Form,Rank,Team,Athlete,Score,Remark
Wushu Taolu,Men's Fifth-type bare-hand routines_Shaolinquan Group E,1,USA,Mario SALAZAR,9.06,First Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,2,USA,Mario ALVAREZ BERNAL,8.98,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,3,USA,Matthew WHITAKER HOPWOOD,8.64,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,4,ARG,Jacobo Enrique AVILES PALACIOS,8.61,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,5,MEX,Daniel Benjamin CORONA AGUILAR,8.58,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,6,ROU,Florin IOANA,8.52,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group E,7,TJK,Khurshedjon MULLOBOEV,8.36,
Wushu Taolu,Men's bare-hand routines_Other routines Group E,1,ESP,Jose Luis MORALES GARCIA,9.11,Gold
,Men's bare-hand routines_Other routines Group E,2,ESP,Vicente Miguel RAJA CATALA,9.1,Silver
,Men's bare-hand routines_Other routines Group E,3,USA,Gerard SILVA,8.88,Bronze
,Men's bare-hand routines_Other routines Group E,4,FRA,Ludovic REY,8.85,Second Prize
,Men's bare-hand routines_Other routines Group E,5,FRA,Alexandre PATUREL,8.83,Second Prize
,Men's bare-hand routines_Other routines Group E,6,USA,Jason BUCKWALTER,8.76,Third Prize
,Men's bare-hand routines_Other routines Group E,7,AUS,John Arthur CALLAGHAN,8.75,Third Prize
,Men's bare-hand routines_Other routines Group E,8,POL,Roman Andrzej LICHACZ,8.73,Third Prize
,Men's bare-hand routines_Other routines Group E,9,JPN,IWAMOTO Junya,8.71,Third Prize
,Men's bare-hand routines_Other routines Group E,10,AUS,Brian HONG,8.52,
,Men's bare-hand routines_Other routines Group E,11,FRA,Marc - Aurèle DARCHE,8.45,
,Men's bare-hand routines_Other routines Group E,12,ARG,Rosalino GAUTO OLIVERA,8.44,
,Men's bare-hand routines_Other routines Group E,Default,ALG,Bouloudenine BILAL,,
Wushu Taolu,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,1,BRA,Marco APARECIDO MARTIM JUNIOR,8.98,First Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,2,POL,Sebastian Krzysztof OLESZCZUK,8.79,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,3,FRA,Benoist DELEXTRAT,8.68,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,4,POR,Sérgio ALMEIDA,8.58,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,5,POL,Marek Antoni USZKUR,8.49,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,6,ARG,Carlos Alberto PUEBLA,8.48,
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group E,Default,ARG,Sergio Fabian ESPECHE,,
Wushu Taolu,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,1,BRA,Richard LEUTZ,8.91,First Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,2,FRA,Kévin HENG,8.81,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,3,BEL,Moubarak DAOUDI,8.76,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,4,BRA,Marcos DIMANFA BONGIANNI,8.73,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,5,POL,Konrad MAsNICKI,8.68,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,6,POL,Lukasz Arkadiusz DERZKO,8.64,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,7,POL,Grzegorz RYCHLEWSKI,8.55,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group E,Default,AUS,Michael Zhen YU,,
Wushu Taolu,Men's Nanquan-type routines_Other routines Group E,1,BRA,Jose Augusto DA SILVA JUNIOR,8.85,First Prize
,Men's Nanquan-type routines_Other routines Group E,2,BEL,Johan CONTI,8.66,Second Prize
,Men's Nanquan-type routines_Other routines Group E,3,BRA,Italo Jorge OLIVEIRA SANTOS,8.63,Second Prize
,Men's Nanquan-type routines_Other routines Group E,4,USA,Sebastian RAMOS CONTRERAS,8.61,Third Prize
,Men's Nanquan-type routines_Other routines Group E,5,AUS,Michael Zhen YU,8.6,Third Prize
,Men's Nanquan-type routines_Other routines Group E,6,MAS,TAN Ching Fung,8.55,Third Prize
,Men's Nanquan-type routines_Other routines Group E,7,MAS,SIM Sze Kiat,8.54,
,Men's Nanquan-type routines_Other routines Group E,8,POL,Wlodzimierz Ziec,8.53,
,Men's Nanquan-type routines_Other routines Group E,9,USA,Christopher HOFFMAN,8.3,
,Men's Nanquan-type routines_Other routines Group E,Default,ARG,Jorge Agustín PIERI,,
Wushu Taolu,Men's First-type bare-hand routines Group C,1,USA,Marshall BRAYTON,8.71,First Prize
,Men's First-type bare-hand routines Group C,2,EGY,Ramy Ramadan Mohamed,8.67,Second Prize
,Men's First-type bare-hand routines Group C,3,HKG,WONG Chun Yin Nicholas,8.66,Second Prize
,Men's First-type bare-hand routines Group C,4,AIN,Timur KHODZHAKOV,8.63,Third Prize
,Men's First-type bare-hand routines Group C,5,UKR,Volodymyr SHYNKARENKO,8.59,Third Prize
,Men's First-type bare-hand routines Group C,6,LAT,Edgars ZARINS,8.55,Third Prize
,Men's First-type bare-hand routines Group C,7,TUN,Kadri MOHAMED YASSIN,8.53,
Wushu Taolu,Men's Third-type bare-hand routines Group C,1,AIN,Boris GORODNIKOV,8.63,Gold
,Men's Third-type bare-hand routines Group C,2,INA,Calvin Ethanael WIJAYA,8.57,Silver
,Men's Third-type bare-hand routines Group C,3,USA,Kai HIRAHARA,8.56,Bronze
,Men's Third-type bare-hand routines Group C,4,AUS,Fan-ao KONG,8.54,Second Prize
,Men's Third-type bare-hand routines Group C,5,KAZ,Alkarim ZHADIGER,8.5,Second Prize
,Men's Third-type bare-hand routines Group C,6,USA,Liam BROWN,8.49,Third Prize
,Men's Third-type bare-hand routines Group C,7,SGP,NG Chun Sheng,8.48,Third Prize
,Men's Third-type bare-hand routines Group C,8,USA,Brendan WONG,8.46,Third Prize
,Men's Third-type bare-hand routines Group C,9,USA,Joshua TJHIN,8.44,Third Prize
,Men's Third-type bare-hand routines Group C,10,ROU,Andrei Mario NEDELEA,8.43,Third Prize
