Score,Group,Form
8.51,C,Shaolin Quan
8.5,C,Shaolin Quan
8.49,C,Shaolin Quan
8.49,C,Shaolin Quan
8.49,C,Shaolin Quan
8.47,C,Shaolin Quan
8.46,C,Shaolin Quan
8.44,C,Shaolin Quan
8.43,C,Shaolin Quan
8.42,C,Shaolin Quan
8.74,C,Shuang Dao (Double Broadsword)
8.73,C,Shuang Dao (Double Broadsword)
8.7,C,Shuang Dao (Double Broadsword)
8.68,C,Shuang Dao (Double Broadsword)
8.67,C,Shuang Dao (Double Broadsword)
8.64,C,Shuang Dao (Double Broadsword)
8.54,C,Shuang Dao (Double Broadsword)
8.5,C,Shuang Dao (Double Broadsword)
8.47,C,Shuang Dao (Double Broadsword)
8.44,C,Shuang Dao (Double Broadsword)
8.4,C,Shuang Dao (Double Broadsword)
8.61,C,Southern Styles Nanquan
8.58,C,Southern Styles Nanquan
8.55,C,Southern Styles Nanquan
8.55,C,Southern Styles Nanquan
8.54,C,Southern Styles Nanquan
8.52,C,Southern Styles Nanquan
8.48,C,Southern Styles Nanquan
8.47,C,Southern Styles Nanquan
8.44,C,Southern Styles Nanquan
8.43,C,Southern Styles Nanquan
8.42,C,Southern Styles Nanquan
8.42,C,Southern Styles Nanquan
8.41,C,Southern Styles Nanquan
8.39,C,Southern Styles Nanquan
8.38,C,Southern Styles Nanquan
8.37,C,Southern Styles Nanquan
8.34,C,Southern Styles Nanquan
8.33,C,Southern Styles Nanquan
8.33,C,Southern Styles Nanquan
8.31,C,Southern Styles Nanquan
8.31,C,Southern Styles Nanquan
8.29,C,Southern Styles Nanquan
8.26,C,Southern Styles Nanquan
NA,C,Southern Styles Nanquan
NA,C,Southern Styles Nanquan
NA,C,Southern Styles Nanquan
8.98,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.97,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.82,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.81,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.77,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.73,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.6,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.55,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.39,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.34,C,Taiji Jian (Including 42 Posture Taiji Jian)
8.68,C,Tongbei Quan
8.61,C,Tongbei Quan
8.55,C,Tongbei Quan
8.54,C,Tongbei Quan
8.48,C,Tongbei Quan
8.45,C,Tongbei Quan
8.44,C,Tongbei Quan
8.42,C,Tongbei Quan
8.7,C,Traditional Flexible/Soft Weapon
8.61,C,Traditional Flexible/Soft Weapon
8.55,C,Traditional Flexible/Soft Weapon
8.53,C,Traditional Flexible/Soft Weapon
8.51,C,Traditional Flexible/Soft Weapon
8.5,C,Traditional Flexible/Soft Weapon
8.47,C,Traditional Flexible/Soft Weapon
8.46,C,Traditional Flexible/Soft Weapon
8.39,C,Traditional Flexible/Soft Weapon
8.34,C,Traditional Flexible/Soft Weapon
NA,C,Traditional Flexible/Soft Weapon
8.61,C,Xingyi Quan
8.51,C,Xingyi Quan
8.49,C,Xingyi Quan
8.43,C,Xingyi Quan
8.42,C,Xingyi Quan
8.33,C,Xingyi Quan
8.31,C,Xingyi Quan
NA,C,Xingyi Quan
8.99,C,Zui Jian (Drunken Sword)
8.9,C,Zui Jian (Drunken Sword)
8.87,C,Zui Jian (Drunken Sword)
8.84,C,Zui Jian (Drunken Sword)
8.75,C,Zui Jian (Drunken Sword)
8.74,C,Zui Jian (Drunken Sword)
8.73,C,Zui Jian (Drunken Sword)
9.11,D,Cha Quan
9.06,D,Cha Quan
9,D,Cha Quan
8.94,D,Cha Quan
8.91,D,Cha Quan
8.91,D,Cha Quan
8.86,D,Cha Quan
8.86,D,Cha Quan
8.78,D,Cha Quan
8.78,D,Cha Quan
8.76,D,Cha Quan
8.71,D,Cha Quan
8.71,D,Cha Quan
9.17,D,Chen Style Taiji Jian
9.1,D,Chen Style Taiji Jian
9,D,Chen Style Taiji Jian
8.92,D,Chen Style Taiji Jian
8.88,D,Chen Style Taiji Jian
8.87,D,Chen Style Taiji Jian
8.75,D,Chen Style Taiji Jian
9.04,D,Chen Style Taijiquan
8.81,D,Chen Style Taijiquan
8.8,D,Chen Style Taijiquan
8.75,D,Chen Style Taijiquan
8.73,D,Chen Style Taijiquan
8.73,D,Chen Style Taijiquan
8.7,D,Chen Style Taijiquan
8.69,D,Chen Style Taijiquan
8.69,D,Chen Style Taijiquan
8.64,D,Chen Style Taijiquan
8.63,D,Chen Style Taijiquan
8.61,D,Chen Style Taijiquan
NA,D,Chen Style Taijiquan
9.06,D,Choy Lay Fut Kune (Cailifo Quan)
9,D,Choy Lay Fut Kune (Cailifo Quan)
8.93,D,Choy Lay Fut Kune (Cailifo Quan)
8.93,D,Choy Lay Fut Kune (Cailifo Quan)
8.89,D,Choy Lay Fut Kune (Cailifo Quan)
8.88,D,Choy Lay Fut Kune (Cailifo Quan)
8.85,D,Choy Lay Fut Kune (Cailifo Quan)
8.85,D,Choy Lay Fut Kune (Cailifo Quan)
8.84,D,Choy Lay Fut Kune (Cailifo Quan)
8.79,D,Choy Lay Fut Kune (Cailifo Quan)
8.79,D,Choy Lay Fut Kune (Cailifo Quan)
8.78,D,Choy Lay Fut Kune (Cailifo Quan)
8.78,D,Choy Lay Fut Kune (Cailifo Quan)
8.78,D,Choy Lay Fut Kune (Cailifo Quan)
8.73,D,Choy Lay Fut Kune (Cailifo Quan)
9.2,D,Dao (Broadsword)
9.15,D,Dao (Broadsword)
9.1,D,Dao (Broadsword)
9.09,D,Dao (Broadsword)
9.05,D,Dao (Broadsword)
9,D,Dao (Broadsword)
8.99,D,Dao (Broadsword)
8.98,D,Dao (Broadsword)
8.98,D,Dao (Broadsword)
8.97,D,Dao (Broadsword)
8.91,D,Dao (Broadsword)
8.88,D,Dao (Broadsword)
8.87,D,Dao (Broadsword)
8.87,D,Dao (Broadsword)
8.86,D,Dao (Broadsword)
8.86,D,Dao (Broadsword)
8.81,D,Dao (Broadsword)
8.81,D,Dao (Broadsword)
8.8,D,Dao (Broadsword)
8.8,D,Dao (Broadsword)
8.79,D,Dao (Broadsword)
8.75,D,Dao (Broadsword)
8.51,D,Dao (Broadsword)
NA,D,Dao (Broadsword)
NA,D,Dao (Broadsword)
NA,D,Dao (Broadsword)
9.08,D,Fanzi Quan
9.01,D,Fanzi Quan
8.95,D,Fanzi Quan
8.86,D,Fanzi Quan
NA,D,Fanzi Quan
NA,D,Fanzi Quan
9.16,D,Guandao (Kwan Dao)
9.04,D,Guandao (Kwan Dao)
8.96,D,Guandao (Kwan Dao)
8.82,D,Guandao (Kwan Dao)
8.77,D,Guandao (Kwan Dao)
8.76,D,Guandao (Kwan Dao)
8.74,D,Guandao (Kwan Dao)
NA,D,Guandao (Kwan Dao)
9.19,D,Gun (Cudgel/Staff)
9.1,D,Gun (Cudgel/Staff)
9.09,D,Gun (Cudgel/Staff)
9.06,D,Gun (Cudgel/Staff)
9.01,D,Gun (Cudgel/Staff)
8.95,D,Gun (Cudgel/Staff)
8.9,D,Gun (Cudgel/Staff)
8.83,D,Gun (Cudgel/Staff)
8.81,D,Gun (Cudgel/Staff)
8.81,D,Gun (Cudgel/Staff)
8.8,D,Gun (Cudgel/Staff)
8.78,D,Gun (Cudgel/Staff)
8.78,D,Gun (Cudgel/Staff)
8.7,D,Gun (Cudgel/Staff)
8.55,D,Gun (Cudgel/Staff)
NA,D,Gun (Cudgel/Staff)
9.19,D,Hung Gar Kune (Hongjia Quan)
9,D,Hung Gar Kune (Hongjia Quan)
