Sex,Form,Group,Team,Athlete,Score
M,bare hand routines Other routines,D,GEO,Saba EDILASHVILI,8.8
M,bare hand routines Other routines,D,USA,Aaron KEYS,8.77
M,bare hand routines Other routines,D,NED,Hill Fung IP,8.76
M,bare hand routines Other routines,D,EGY,Moustafa EMISH,8.74
M,bare hand routines Other routines,D,GRE,Ioannis TASOPOULOS,8.72
M,bare hand routines Other routines,D,USA,Andrew TAN,8.7
M,bare hand routines Other routines,D,IND,Arkeshwar MEDATWAL,8.69
M,bare hand routines Other routines,D,HUN,Bálint PINTéR,8.67
M,Nanquan type routines Huquan,D,CHN,CAO Huize,9.28
M,Nanquan type routines Huquan,D,HKG,CHOW Chun Yu,9.12
M,Nanquan type routines Huquan,D,AIN,Gleb BURDOV,9.03
M,Nanquan type routines Huquan,D,UKR,Mykyta KOVALOV,8.86
M,Nanquan type routines Huquan,D,TUR,Kaan KUCUKAKYUZ,8.83
M,Nanquan type routines Huquan,D,USA,Lyman CHEN,8.79
M,Nanquan type routines Huquan,D,ESP,Francisco COLLADO SAIZ,8.78
M,bare hand routines Other routines,F,CHN,XU Yuhuan,9.08
M,bare hand routines Other routines,F,POR,Alcino CUNHA,8.74
M,bare hand routines Other routines,F,RSA,Allan Jonathan HACKNER,8.72
M,bare hand routines Other routines,F,USA,Ebert KAN,8.71
M,bare hand routines Other routines,F,JPN,OTAKA Kazuhiko,8.68
M,bare hand routines Other routines,F,SGP,KWAN Siew Hung,8.67
M,bare hand routines Other routines,F,HUN,Mihály József KOSZOGOVITS,8.55
M,bare hand routines Other routines,F,BRA,Roberto DOS SANTOS DE OLIVEIRA,8.53
M,bare hand routines Other routines,F,JPN,FUKUNISHI Tadashi,8.49
M,bare hand routines Other routines,F,USA,Jeffrey REXFORD,8.44
M,bare hand routines Other routines,F,TUN,Hamli OTHMAN,8.41
M,bare hand routines Other routines,F,KGZ,Evgenii LOPATKIN,8.36
M,bare hand routines Other routines,F,USA,John JOSEPHSON,8.16
M,First type bare hand routines,E,BRA,Sergio Minoru TANOSHI,8.86
M,First type bare hand routines,E,JPN,TAKEUCHI Takashi,8.75
M,First type bare hand routines,E,AUS,Mitchell BROWN,8.73
M,First type bare hand routines,E,HUN,Géza Zoltán SIMON,8.63
M,Third type bare hand routines Tanglangquan (Mantis Style),E,GBR,Jonathan Wai Kit LAM,8.98
M,Third type bare hand routines Tanglangquan (Mantis Style),E,FRA,Yun - Yaw CHU,8.78
M,Third type bare hand routines Tanglangquan (Mantis Style),E,POR,Daniel DAVID,8.76
M,Third type bare hand routines Tanglangquan (Mantis Style),E,AUS,Sherman Shu Hang MAK,8.73
M,Third type bare hand routines Tanglangquan (Mantis Style),E,POR,António INáCIO,8.66
M,Third type bare hand routines Tanglangquan (Mantis Style),E,POR,Alexander PONZO,8.6
M,Fifth type bare hand routines Shaolinquan,E,USA,Mario SALAZAR,9.06
M,Fifth type bare hand routines Shaolinquan,E,USA,Mario ALVAREZ BERNAL,8.98
M,Fifth type bare hand routines Shaolinquan,E,USA,Matthew WHITAKER HOPWOOD,8.64
M,Fifth type bare hand routines Shaolinquan,E,ARG,Jacobo Enrique AVILES PALACIOS,8.61
M,Fifth type bare hand routines Shaolinquan,E,MEX,Daniel Benjamin CORONA AGUILAR,8.58
M,Fifth type bare hand routines Shaolinquan,E,ROU,Florin IOANA,8.52
M,Fifth type bare hand routines Shaolinquan,E,TJK,Khurshedjon MULLOBOEV,8.36
M,bare hand routines Other routines,E,ESP,Jose Luis MORALES GARCIA,9.11
