,sex,Form,Group,Rank,Team,Athlete,Score,Remark
79,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,3,GRE,Dimitrios Ioannis MATHIOPOULOS,9.03,Bronze
80,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,4,ITA,Giorgio MARCHESI,9.01,Second Prize
81,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,5,USA,Jeffrey CHON,9,Second Prize
82,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,6,CAN,Jiachen PENG,8.96,Second Prize
83,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,7,GBR,Junayed Ilhan GUVEN,8.88,Second Prize
84,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,8,FRA,Nicolas GU,8.87,Second Prize
85,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,9,HUN,Bence Róbert KIS,8.83,Second Prize
86,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,10,HUN,Domonkos GRóF,8.81,Third Prize
87,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,11,SUI,Leandro GARCIA,8.73,Third Prize
88,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,12,POR,Bruno SOUSA,8.71,Third Prize
89,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,13,ITA,Umberto NACHIRO,8.7,Third Prize
90,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,14,FRA,Alexandre CORDARO,8.69,Third Prize
91,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,15,MEX,Diego Armando CORREA IXTEPAN,8.65,Third Prize
92,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,16,AUS,Timothy James HONDROUDAKIS,8.64,Third Prize
93,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,17,BRA,Bruno DE AMORIM ARANTES,8.63,Third Prize
94,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,18,HUN,Dominik Norbert MEIXNER,8.62,Third Prize
95,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,19,SUI,Ivan SIMIC,8.6,
96,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,20,SGP,SNG Hao Yang Jonas,8.59,
97,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,21,SUI,Igor SIMIC,8.58,
98,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,22,USA,Yaseen GHANEM,8.52,
99,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,23,BEL,Loic HENRIOULLE,8.51,
100,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,24,FRA,Martin MASSON,8.48,
101,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,25,TJK,Khushang RAJABOV,8.43,
102,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,26,USA,Tyrese CARROLL,8.42,
103,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,27,USA,Parke BOWMAN,8.36,
