,sex,Form,Group,Rank,Team,Athlete,Score,Remark
1099,W,Nanquan-type routines ,Group C,6,POL,Natalia Maria ZARóD,8.33,Third Prize
1100,W,Nanquan-type routines ,Group C,7,IND,Luhenbi MAIBAM,8.33,Third Prize
1101,W,bare-hand routines_Other routines ,Group C,1,TUR,Afra KILINC,8.65,Gold
1102,W,bare-hand routines_Other routines ,Group C,2,HKG,LO Tsz Ki Debby,8.55,Silver
1103,W,bare-hand routines_Other routines ,Group C,3,LAT,Zlata TVOROGOVA,8.52,Bronze
1104,W,bare-hand routines_Other routines ,Group C,4,INA,Latifa Farannisa AGIL,8.46,Second Prize
1105,W,bare-hand routines_Other routines ,Group C,5,SVK,Diana CELEdOVá,8.4,Second Prize
1106,W,bare-hand routines_Other routines ,Group C,6,GRE,Maria DOUDONI,8.34,Third Prize
1107,W,bare-hand routines_Other routines ,Group C,7,GRE,Myrto TSIALTA,8.31,Third Prize
1108,W,bare-hand routines_Other routines ,Group C,8,MAS,LEE Xuen Ern,8.3,Third Prize
1109,W,bare-hand routines_Other routines ,Group C,9,GRE,Spyridoula DOUDOUNI,8.29,Third Prize
1110,W,bare-hand routines_Other routines ,Group C,10,KGZ,Saadat KASYMALIEVA,8.26,
1111,W,bare-hand routines_Other routines ,Group C,11,HUN,Zoé Panna NéMETH,8.25,
1112,W,bare-hand routines_Other routines ,Group C,12,AUS,Angelique LI,8.14,
1113,W,bare-hand routines_Other routines ,Group C,13,GRE,Elpida TRIGONI,8.01,
1114,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,1,HKG,CHAN Tsz Sa,8.62,First Prize
1115,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,2,HKG,CHUNG Cheuk Yin,8.56,Second Prize
1116,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,3,MAC,LOK Mai Cheng,8.53,Second Prize
1117,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,4,POL,Vanessa Weronika PARADIUK,8.52,Third Prize
1118,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,5,NZL,Yusu ZHANG,8.36,Third Prize
1119,W,Taijiquan-type routines_42-posture Taijiquan ,Group C,6,KGZ,Elina ISAKOVA,8.34,
1120,W,Taijiquan-type routines_Other Taijiquan ,Group C,1,USA,Emma HUANG,8.64,First Prize
1121,W,Taijiquan-type routines_Other Taijiquan ,Group C,2,HKG,LIU Hoi Man,8.54,Second Prize
1122,W,Taijiquan-type routines_Other Taijiquan ,Group C,3,AIN,Kira MOKHOVA,8.49,Second Prize
1123,W,Taijiquan-type routines_Other Taijiquan ,Group C,4,USA,Samantha LU,8.46,Third Prize
1124,W,Taijiquan-type routines_Other Taijiquan ,Group C,5,TUN,Manai ZEINEB,8.39,Third Prize
1125,W,Taijiquan-type routines_Other Taijiquan ,Group C,6,ROU,Lorena Larisa GHIDUT,8.37,Third Prize
1126,W,Taijiquan-type routines_Other Taijiquan ,Group C,7,KAZ,Aiymzhan KUZEMBAY,8.33,
1127,W,Taijiquan-type routines_Other Taijiquan ,Group C,8,ROU,Oana Vasilica BELEAN,8.2,
1128,W,Taijiquan-type routines_Other routines ,Group A,1,USA,Ellie SUN,7.46,First Prize
1129,W,Taijiquan-type routines_Other routines ,Group A,2,NZL,Tanya Tianran YANG,7.43,Second Prize
1130,W,Taijiquan-type routines_Other routines ,Group A,3,AUS,Belinda Xinghui LI,7.16,Third Prize
1131,W,Taijiquan-type routines_Other routines ,Group B,1,MAS,TAN Jaslyn Yu Ching,8.61,First Prize
1132,W,Taijiquan-type routines_Other routines ,Group B,2,CAN,Ching Lam Katelyn CHOY,8.57,Second Prize
1133,W,Taijiquan-type routines_Other routines ,Group B,3,NZL,Annie HARRIS,8.45,Second Prize
1134,W,Taijiquan-type routines_Other routines ,Group B,4,HKG,LYU Xinyi Evelyn,8.4,Third Prize
1135,W,Taijiquan-type routines_Other routines ,Group B,5,CAN,LI Wanglan,8.39,Third Prize
1136,W,Taijiquan-type routines_Other routines ,Group B,6,ROU,Sofia Maria ILIE,8.32,Third Prize
1137,W,Taijiquan-type routines_Other routines ,Group B,7,ROU,Alexandra Jasmine TECI,8.24,
1138,W,Taijiquan-type routines_Other routines ,Group B,8,USA,Seyed Dana KEYHANI ZEYABERI,7.85,
1139,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,1,HKG,LIN Sophie Isabella,8.62,First Prize
1140,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,2,BRU,Meagan Marie KEASBERRY,8.5,First Prize
1141,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,3,HKG,LU Xinqi Kiki,8.49,Second Prize
1142,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,4,NZL,Amberbi WANG,8.48,Second Prize
1143,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,5,HKG,ZHANG Yuanjia,8.45,Second Prize
1144,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,6,NZL,Ziyan ZHOU,8.44,Third Prize
1145,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,7,BRU,Lauren Emily CHUA,8.41,Third Prize
1146,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,8,CAN,Shiwen LI,8.4,Third Prize
1147,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,9,BRU,Natalie Xin Ying ONG,8.39,Third Prize
1148,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,10,IND,Aradhya _,8.06,
1149,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,11,UKR,Kristina CHUKANOVA,8.01,
1150,W,Taijiquan-type routines_42-posture Taijiquan ,Group B,Default,BRU,Emilia Yee Qing CHUA,NA,
1151,M,Taijiquan-type routines_Other routines ,Group A,1,CAN,Yiyuan Jonathan ZHANG,7.53,First Prize
1152,M,Taijiquan-type routines_Other routines ,Group A,2,CAN,Jinrong Jayden ZHANG,7.49,Second Prize
1153,M,Taijiquan-type routines_Other routines ,Group A,3,BRU,Samuel Yong Jun ONG,7.4,Third Prize
1154,M,Taijiquan-type routines_Other routines ,Group A,Default,AFG,Eshaqi HAMMAD TAHA,NA,
1155,M,Taijiquan-type routines_Other routines ,Group B,1,CAN,Junchen YANG,8.54,First Prize
1156,M,Taijiquan-type routines_Other routines ,Group B,2,HKG,WONG Yu Chit,8.5,Second Prize
1157,M,Taijiquan-type routines_Other routines ,Group B,3,NZL,Oliver QIAO,8.4,Second Prize
1158,M,Taijiquan-type routines_Other routines ,Group B,4,FRA,Félicien Zhi - Yi DU,8.31,Third Prize
1159,M,Taijiquan-type routines_Other routines ,Group B,5,HKG,LEUNG Jonas Ka Fuk,8.3,Third Prize
1160,M,Taijiquan-type routines_Other routines ,Group B,6,NZL,HUANG Ziyi,8.29,Third Prize
1161,M,Taijiquan-type routines_Other routines ,Group B,7,ROU,Alexandru UDISTEANU ASLAN,8.22,
1162,M,Taijiquan-type routines ,Group C,1,USA,Kaden WONG,8.62,First Prize
1163,M,Taijiquan-type routines ,Group C,2,USA,Kadyn WONG,8.54,Second Prize
1164,M,Taijiquan-type routines ,Group C,3,LAT,Roberts RITENBERGS,8.46,Second Prize
1165,M,Taijiquan-type routines ,Group C,4,AIN,Artem BOLKHOVITIN,8.42,Third Prize
1166,M,Taijiquan-type routines ,Group C,5,ITA,Matteo MURENU,8.41,Third Prize
1167,M,Taijiquan-type routines ,Group C,6,AIN,Zakhar ZHDANOV,8.37,
1168,M,Single-weapon routines_Dao (Broadsword) ,Group A,1,HKG,FUNG Yat,7.61,First Prize
1169,M,Single-weapon routines_Dao (Broadsword) ,Group A,2,USA,Frank LI,7.53,First Prize
1170,M,Single-weapon routines_Dao (Broadsword) ,Group A,3,SGP,CHEW Alexander,7.43,First Prize
1171,M,Single-weapon routines_Dao (Broadsword) ,Group A,4,MAS,TEOH Brandon Han Yuan,7.37,Second Prize
1172,M,Single-weapon routines_Dao (Broadsword) ,Group A,5,MAS,LIM Bryan Gao Xuan,7.31,Second Prize
1173,M,Single-weapon routines_Dao (Broadsword) ,Group A,6,IND,Messi LAISHRAM,7.3,Second Prize
1174,M,Single-weapon routines_Dao (Broadsword) ,Group A,7,AUS,Yiming Ace LI,7.26,Third Prize
1175,M,Single-weapon routines_Dao (Broadsword) ,Group A,8,HKG,LAI Ming Yeung Ethan,7.24,Third Prize
1176,M,Single-weapon routines_Dao (Broadsword) ,Group A,9,HKG,GONG Xinyu,7.2,Third Prize
1177,M,Single-weapon routines_Dao (Broadsword) ,Group A,10,BRU,Jacob Oliver CHUA,7.18,Third Prize
1178,M,Single-weapon routines_Dao (Broadsword) ,Group A,11,TJK,Muhammadsaid ABDURASHIDOV,7.06,
1179,M,Single-weapon routines_Dao (Broadsword) ,Group A,Default,NZL,Ruize GUI,NA,
1180,M,Single-weapon routines_Jian (Straight Sword) ,Group A,1,FRA,Lorenzo REZZONICO,7.85,First Prize
1181,M,Single-weapon routines_Jian (Straight Sword) ,Group A,2,INA,Brandon GUNAWAN,7.82,First Prize
1182,M,Single-weapon routines_Jian (Straight Sword) ,Group A,3,HKG,ZHENG Adrian,7.74,Second Prize
1183,M,Single-weapon routines_Jian (Straight Sword) ,Group A,4,HKG,LYU Mingqian,7.69,Second Prize
1184,M,Single-weapon routines_Jian (Straight Sword) ,Group A,5,HKG,LO Brandon Chak Kwan,7.68,Third Prize
1185,M,Single-weapon routines_Jian (Straight Sword) ,Group A,6,USA,Kai Parker AU-YEUNG,7.65,Third Prize
1186,M,Single-weapon routines_Jian (Straight Sword) ,Group A,7,USA,Zephyr Alexander REGAN,7.56,Third Prize
1187,M,Single-weapon routines_Jian (Straight Sword) ,Group A,8,MEX,Santiago ATANACIO CASAS,7.38,
1188,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,1,MAC,CHAN Fengze,7.43,Gold
1189,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,2,LAT,Ilja KISELOVS,7.36,Silver
1190,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,3,NZL,Ruize GUI,7.31,Bronze
1191,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,4,CAN,Eden Jing Cheng LIU,7.3,Second Prize
1192,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,5,USA,Atharva DATAR,7.27,Second Prize
1193,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,6,CAN,LI Wangsen,7.24,Second Prize
1194,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,7,AUS,Jones Dave SANJO,7.23,Third Prize
1195,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,8,CAN,Ronghou LI,7.22,Third Prize
1196,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,9,USA,Hardy WANG,7.18,Third Prize
1197,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,10,NZL,Nitai GRBIN,7.15,Third Prize
1198,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,11,CAN,Zizai YU,7.13,
1199,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,12,EGY,Omar KARAMALLA,7.12,
1200,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,13,USA,Kevin Jingcheng ZHANG,6.94,
1201,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,Default,USA,Augustine DENG,NA,
1202,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,Default,AFG,Karokhi MOHAMMAD HASSAN,NA,
1203,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,Default,AUS,Ray Yi HO,NA,
1204,M,Single-weapon routines_Gun (Cudgel/Staff),Group A,Default,EGY,Moaz Mahmoud Fathy Sayed,NA,
1205,M,Single-weapon routines_Pudao ,Group A,1,SGP,TAN Timothy Sung Kai,7.63,First Prize
1206,M,Single-weapon routines_Pudao ,Group A,2,AIN,Artem SHEDKO,7.55,First Prize
1207,M,Single-weapon routines_Pudao ,Group A,3,INA,Muhammad Rifat Azhar WIBOWO,7.47,Second Prize
1208,M,Single-weapon routines_Pudao ,Group A,4,INA,Kenzo Athalla KAFI,7.45,Second Prize
1209,M,Single-weapon routines_Pudao ,Group A,5,NZL,Noah Junwei LIU,7.31,Third Prize
1210,M,Single-weapon routines_Pudao ,Group A,6,MEX,Sergio Leonardo ABARCA CAZARES,7.29,Third Prize
1211,M,Single-weapon routines_Pudao ,Group D,1,AIN,Dmitrii TIUNOV,9.06,Gold
1212,M,Single-weapon routines_Pudao ,Group D,2,AIN,Nikita KOZLOV,9.03,Silver
1213,M,Single-weapon routines_Pudao ,Group D,3,SVK,Martin MALy,8.92,Bronze
1214,M,Single-weapon routines_Pudao ,Group D,4,TUR,Necmettin Erbakan AKYUZ,8.83,Second Prize
1215,M,Single-weapon routines_Pudao ,Group D,5,SGP,CHENG Kei Win,8.8,Second Prize
1216,M,Single-weapon routines_Pudao ,Group D,6,MEX,Jesús Alfredo LIRA ACOSTA,8.77,Third Prize
1217,M,Single-weapon routines_Pudao ,Group D,7,FRA,Wilfried MAQUIN,8.75,Third Prize
1218,M,Single-weapon routines_Pudao ,Group D,8,AUS,Jacky CHEN,8.71,Third Prize
1219,M,Single-weapon routines_Pudao ,Group D,9,ESP,Francisco COLLADO SAIZ,8.7,Third Prize
1220,M,Single-weapon routines_Pudao ,Group D,10,MEX,Luis Arturo GONZALEZ MARMOLEJO,8.68,Third Prize
1221,M,Single-weapon routines_Pudao ,Group D,11,GEO,Giorgi ONIANI,8.66,
1222,M,Single-weapon routines_Pudao ,Group D,12,POR,Bruno SOUSA,8.65,
1223,M,Single-weapon routines_Pudao ,Group D,13,ARG,Elias Edgardo CHAIHORT,8.56,
1224,M,Single-weapon routines_Pudao ,Group D,14,GBR,Guy Richard Ian TOKLEY,8.5,
1225,M,Single-weapon routines_Pudao ,Group D,Default,GEO,David GULISASHVILI,NA,
1226,M,Single-weapon routines_Pudao ,Group D,Default,SRI,Oshan Chalakshana WITHANAGE,NA,
1227,M,Single-weapon routines_Dao (Broadsword) ,Group D,1,MAC,CHEUNG Ioi Chit,9.03,Gold
1228,M,Single-weapon routines_Dao (Broadsword) ,Group D,2,AIN,Ilias KHUSNUTDINOV,9.02,Silver
1229,M,Single-weapon routines_Dao (Broadsword) ,Group D,3,GER,Kai JANSEN,9.01,Bronze
1230,M,Single-weapon routines_Dao (Broadsword) ,Group D,4,AIN,Amgalan ZHIGZHITOV,8.97,Second Prize
1231,M,Single-weapon routines_Dao (Broadsword) ,Group D,5,TUR,Yusuf Sadi ACAR,8.91,Second Prize
1232,M,Single-weapon routines_Dao (Broadsword) ,Group D,6,AIN,Gleb BURDOV,8.9,Second Prize
1233,M,Single-weapon routines_Dao (Broadsword) ,Group D,7,AUS,Fan-bo KONG,8.82,Second Prize
1234,M,Single-weapon routines_Dao (Broadsword) ,Group D,8,ITA,Giorgio MARCHESI,8.79,Second Prize
1235,M,Single-weapon routines_Dao (Broadsword) ,Group D,9,TJK,Fotekh TABAROV,8.73,Third Prize
1236,M,Single-weapon routines_Dao (Broadsword) ,Group D,10,TUR,Kaan KUCUKAKYUZ,8.72,Third Prize
1237,M,Single-weapon routines_Dao (Broadsword) ,Group D,11,HKG,YU Pui Lam,8.71,Third Prize
1238,M,Single-weapon routines_Dao (Broadsword) ,Group D,12,GRE,Konstantinos PAPAEFTHYMIOU,8.7,Third Prize
1239,M,Single-weapon routines_Dao (Broadsword) ,Group D,13,NED,Tygo MAAS,8.68,Third Prize
1240,M,Single-weapon routines_Dao (Broadsword) ,Group D,14,USA,Lyman CHEN,8.66,Third Prize
1241,M,Single-weapon routines_Dao (Broadsword) ,Group D,15,CZE,Petr BURES,8.65,Third Prize
1242,M,Single-weapon routines_Dao (Broadsword) ,Group D,16,GEO,Giorgi GERMANOZASHVILI,8.62,
1243,M,Single-weapon routines_Dao (Broadsword) ,Group D,17,MEX,Angel Julian GOMEZ RODRIGUEZ,8.57,
1244,M,Single-weapon routines_Dao (Broadsword) ,Group D,18,USA,Tyrese CARROLL,8.53,
1245,M,Single-weapon routines_Dao (Broadsword) ,Group D,19,MEX,Bruno Gabriel DUENAS PINON,8.52,
1246,M,Single-weapon routines_Dao (Broadsword) ,Group D,20,USA,Andrew TAN,8.5,
1247,M,Single-weapon routines_Dao (Broadsword) ,Group D,21,SVK,Radoslav MORAVcíK,8.49,
1248,M,Single-weapon routines_Dao (Broadsword) ,Group D,22,HUN,Dominik Norbert MEIXNER,8.42,
1249,M,Single-weapon routines_Dao (Broadsword) ,Group D,23,EGY,Mohamed SHATA,8.28,
1250,M,Single-weapon routines_Dao (Broadsword) ,Group D,Default,AFG,Omari GOLAB SHAH,NA,
1251,M,Single-weapon routines_Dao (Broadsword) ,Group D,Default,ARG,Alejandro Oscar OVIEDO,NA,
1252,M,Single-weapon routines_Dao (Broadsword) ,Group D,Default,CHN,SUI Tianqi,NA,
1253,M,Single-weapon routines_Jian (Straight Sword) ,Group D,1,AIN,Pavel MURATOV,8.98,Gold
1254,M,Single-weapon routines_Jian (Straight Sword) ,Group D,2,AIN,Dmitrii MININ,8.93,Silver
1255,M,Single-weapon routines_Jian (Straight Sword) ,Group D,3,USA,Alex Zhaoyi NI,8.91,Bronze
1256,M,Single-weapon routines_Jian (Straight Sword) ,Group D,4,TUR,Ahmet Taha KESKIN,8.88,Second Prize
1257,M,Single-weapon routines_Jian (Straight Sword) ,Group D,5,SVK,Patrik HATALA,8.87,Second Prize
1258,M,Single-weapon routines_Jian (Straight Sword) ,Group D,6,CAN,Evan Hong Bo LIU,8.85,Second Prize
1259,M,Single-weapon routines_Jian (Straight Sword) ,Group D,7,UKR,Artem HASHCHUK,8.84,Second Prize
1260,M,Single-weapon routines_Jian (Straight Sword) ,Group D,8,ESP,Dan RIO RODRIGUEZ,8.82,Second Prize
1261,M,Single-weapon routines_Jian (Straight Sword) ,Group D,9,GRE,Dimitrios Ioannis MATHIOPOULOS,8.81,Third Prize
1262,M,Single-weapon routines_Jian (Straight Sword) ,Group D,10,LAT,Aleksandrs GORSKIS,8.74,Third Prize
1263,M,Single-weapon routines_Jian (Straight Sword) ,Group D,11,ITA,Ivo ZEDDA,8.72,Third Prize
1264,M,Single-weapon routines_Jian (Straight Sword) ,Group D,12,IND,Bhanu SINGH,8.7,Third Prize
1265,M,Single-weapon routines_Jian (Straight Sword) ,Group D,13,ITA,Claudio DI BENEDETTO,8.68,Third Prize
1266,M,Single-weapon routines_Jian (Straight Sword) ,Group D,14,HUN,Domonkos GRóF,8.63,Third Prize
1267,M,Single-weapon routines_Jian (Straight Sword) ,Group D,15,USA,Daniel DOYLE,8.61,Third Prize
1268,M,Single-weapon routines_Jian (Straight Sword) ,Group D,16,BRA,Bruno DE AMORIM ARANTES,8.61,Third Prize
1269,M,Single-weapon routines_Jian (Straight Sword) ,Group D,17,AUS,Alexander Ha TERREY,8.6,
1270,M,Single-weapon routines_Jian (Straight Sword) ,Group D,18,FRA,Murphy MOU SANG,8.59,
1271,M,Single-weapon routines_Jian (Straight Sword) ,Group D,19,MAS,TUNG Ho Yen,8.59,
1272,M,Single-weapon routines_Jian (Straight Sword) ,Group D,20,BRA,Fabio MOREIRA DE ARAUJO,8.54,
1273,M,Single-weapon routines_Jian (Straight Sword) ,Group D,21,MEX,Diego Armando CORREA IXTEPAN,8.48,
1274,M,Single-weapon routines_Jian (Straight Sword) ,Group D,22,HUN,Gergely Lóránd BoDY,8.45,
1275,M,Single-weapon routines_Jian (Straight Sword) ,Group D,Default,ALG,Temime YAZID,NA,
1276,M,Single-weapon routines_Jian (Straight Sword) ,Group D,Default,NZL,Jichuan LI,NA,
1277,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,1,ESP,Francisco GARCIA MAZUECOS,8.89,Gold
1278,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,2,HKG,YEUNG Cheuk Yin,8.85,Silver
1279,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,3,USA,Jeffrey CHON,8.81,Bronze
1280,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,4,NED,Ferran Tomás NIEUWKAMER SANCHEZ,8.78,Second Prize
1281,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,5,CAN,Jiachen PENG,8.77,Second Prize
1282,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,6,TUR,Osman YALKIN,8.71,Second Prize
1283,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,7,CZE,Matej KRATKY,8.7,Second Prize
1284,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,8,GEO,Saba EDILASHVILI,8.67,Second Prize
1285,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,9,EGY,Moaz Mahmoud Fathy Sayed,8.67,Second Prize
1286,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,10,JPN,ENOKAWA Oga,8.66,Third Prize
1287,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,11,HUN,Bence Róbert KIS,8.65,Third Prize
1288,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,12,ITA,Umberto NACHIRO,8.64,Third Prize
1289,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,13,BEL,Loic HENRIOULLE,8.6,Third Prize
1290,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,14,FRA,Nicolas GU,8.59,Third Prize
1291,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,15,ROU,Florin Alexandru BARICA,8.58,Third Prize
1292,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,16,USA,Yaseen GHANEM,8.56,
1293,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,17,BEL,Jonathan VERHEYEN,8.56,
1294,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,18,AUS,Kin Cheung HO,8.51,
1295,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,19,AUS,Xun Hao HUANG,8.5,
1296,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,20,AUS,Nathan NGHIEM,8.48,
1297,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,21,FRA,Martin MASSON,8.45,
1298,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,22,EGY,Fares ELSHOURBAGI,8.44,
1299,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,Default,ALG,Belghazi ZINE EL ABIDINE,NA,
1300,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,Default,CHN,CAO Huize,NA,
1301,M,Single-weapon routines_Gun (Cudgel/Staff),Group D,Default,CHN,ZHANG Yongbiao,NA,
1302,M,Single-weapon routines_Qiang (Spear) ,Group D,1,UKR,Bohdan NAIDA,8.98,First Prize
1303,M,Single-weapon routines_Qiang (Spear) ,Group D,2,ITA,Michele GAMBINO,8.79,First Prize
1304,M,Single-weapon routines_Qiang (Spear) ,Group D,3,NED,Jesse KONICKX,8.73,Second Prize
1305,M,Single-weapon routines_Qiang (Spear) ,Group D,4,SGP,SNG Hao Yang Jonas,8.73,Second Prize
1306,M,Single-weapon routines_Qiang (Spear) ,Group D,5,GRE,Ioannis TASOPOULOS,8.63,Second Prize
1307,M,Single-weapon routines_Qiang (Spear) ,Group D,6,FRA,Anouchith MICHANHOM,8.63,Second Prize
1308,M,Single-weapon routines_Qiang (Spear) ,Group D,7,BEL,Mathéo GOLLAS,8.62,Third Prize
1309,M,Single-weapon routines_Qiang (Spear) ,Group D,8,SUI,Ivan SIMIC,8.61,Third Prize
1310,M,Single-weapon routines_Qiang (Spear) ,Group D,9,USA,Rory HYTREK,8.46,Third Prize
1311,M,Single-weapon routines_Qiang (Spear) ,Group D,10,AUS,Chun Tak Jaydon TSE,8.42,
1312,M,Single-weapon routines_Qiang (Spear) ,Group D,11,POR,Rodrigo SANTOS,8.3,
1313,M,Single-weapon routines_Qiang (Spear) ,Group D,Default,NED,Ferran Tomás NIEUWKAMER SANCHEZ,NA,
1314,M,Single-weapon routines_Qiang (Spear) ,Group D,Default,CHN,WU Hao,NA,
1315,M,Single-weapon routines_Guandao (Kwan Dao),Group C,1,SGP,KALUARACHCHI Devin Tharunuwan,8.85,Gold
1316,M,Single-weapon routines_Guandao (Kwan Dao),Group C,2,GEO,David GULISASHVILI,8.82,Silver
1317,M,Single-weapon routines_Guandao (Kwan Dao),Group C,3,ITA,Alessandro SIRTO,8.78,Bronze
1318,M,Single-weapon routines_Guandao (Kwan Dao),Group C,4,BRA,Caio Cesar ZANA,8.75,Second Prize
1319,M,Single-weapon routines_Guandao (Kwan Dao),Group C,5,BRA,Flavio Henrique CASSIANO,8.74,Second Prize
1320,M,Single-weapon routines_Guandao (Kwan Dao),Group C,6,MEX,Carlos Omar SIERRA VILLAR,8.73,Third Prize
1321,M,Single-weapon routines_Guandao (Kwan Dao),Group C,7,GRE,Konstantinos LAMPADAS,8.72,Third Prize
1322,M,Single-weapon routines_Guandao (Kwan Dao),Group C,8,AUS,Xun Tao HUANG,8.71,Third Prize
1323,M,Single-weapon routines_Guandao (Kwan Dao),Group C,9,SUI,Leandro GARCIA,8.68,Third Prize
1324,M,Single-weapon routines_Guandao (Kwan Dao),Group C,10,NED,Hill Fung IP,8.64,
1325,M,Single-weapon routines_Guandao (Kwan Dao),Group C,11,MAS,TEOH Bernard Meng Siang,8.46,
1326,M,Single-weapon routines_Guandao (Kwan Dao),Group C,No Score,USA,Mohammad ULLAH,NA,
1327,M,Single-weapon routines_Guandao (Kwan Dao),Group C,Default,ALG,Boutoubane YASSINE,NA,
1328,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,1,HKG,TING Kin Sing Kinson,9.1,Gold
1329,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,2,AIN,Kamil KHALILIULIN,8.99,Silver
1330,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,3,MAC,LEONG Chou Fong,8.95,Bronze
1331,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,4,AIN,Dierbek DUISHABOEV,8.87,Second Prize
1332,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,5,HKG,CHOW Chun Yu,8.84,Second Prize
1333,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,6,UKR,Danylo POTURYMETS,8.81,Second Prize
1334,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,7,TUR,Deniz SABOTIC,8.81,Second Prize
1335,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,8,BRA,Anthony DA SILVA CAPELAZZO,8.78,Third Prize
1336,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,9,TJK,Mirzodalerkhon KHURSHEDZODA,8.76,Third Prize
1337,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,10,AIN,Rinat KUCHUMOV,8.75,Third Prize
1338,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,11,UKR,Mykyta KOVALOV,8.72,Third Prize
1339,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,12,ITA,Matteo TESTARDINI,8.68,
1340,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,13,TJK,Ilyoskhon VALIEV,8.65,
1341,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,14,TJK,Khushang RAJABOV,8.62,
1342,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,15,ROU,Victor HASIEGANU,8.58,
1343,M,Single-weapon routines_Nangun (Southern Staff/Cudgel) ,Group D,16,TJK,Abbos JURAEV,8.58,
1344,M,Double-weapon routines_Shuangbishou (Double Daggers) ,Group D,1,POL,Tomasz BILUT,8.77,First Prize
1345,M,Double-weapon routines_Shuangbishou (Double Daggers) ,Group D,2,POL,Lukasz Mateusz MASLANKA,8.72,Second Prize
1346,M,Double-weapon routines_Shuangbishou (Double Daggers) ,Group D,3,BRA,Bruno PAIXaO FERRARI,8.72,Second Prize
