id,winner,card
19911,FALSE,Giant Skeleton
19911,FALSE,Bomber
18220,FALSE,Golem
18220,FALSE,Night Witch
18220,FALSE,The Log
18220,FALSE,Baby Dragon
18220,FALSE,Mega Minion
18220,FALSE,Poison
18220,FALSE,Tornado
18220,FALSE,Lumberjack
19115,TRUE,Giant
19115,TRUE,Mini P.E.K.K.A
19115,TRUE,Hog Rider
19115,TRUE,Fire Spirits
19115,TRUE,Fireball
19115,TRUE,Giant Skeleton
19115,TRUE,Wizard
19115,TRUE,Zap
19314,FALSE,Goblin Barrel
19314,FALSE,Balloon
19314,FALSE,Bats
19314,FALSE,Arrows
19314,FALSE,Baby Dragon
19314,FALSE,Dart Goblin
19314,FALSE,The Log
19314,FALSE,Rage
1939,TRUE,Goblin Gang
1939,TRUE,Executioner
1939,TRUE,Zap
1939,TRUE,Mega Knight
1939,TRUE,Mini P.E.K.K.A
1939,TRUE,Witch
1939,TRUE,Inferno Dragon
1939,TRUE,Balloon
18639,FALSE,P.E.K.K.A
18639,FALSE,Wizard
18639,FALSE,Musketeer
18639,FALSE,Goblin Barrel
18639,FALSE,Zap
18639,FALSE,Fire Spirits
18639,FALSE,Rage
18639,FALSE,Fisherman
19820,FALSE,Giant Skeleton
19820,FALSE,Clone
19820,FALSE,Witch
19820,FALSE,Bandit
19820,FALSE,Baby Dragon
19820,FALSE,Arrows
19820,FALSE,Princess
19820,FALSE,Executioner
10359,TRUE,Giant Snowball
10359,TRUE,Princess
10359,TRUE,Minions
10359,TRUE,Furnace
10359,TRUE,Hog Rider
10359,TRUE,Wizard
10359,TRUE,Valkyrie
10359,TRUE,Elite Barbarians
19040,FALSE,Fisherman
19040,FALSE,X-Bow
19040,FALSE,Ice Wizard
19040,FALSE,Lumberjack
19040,FALSE,The Log
19040,FALSE,Goblin Gang
19040,FALSE,Bats
19040,FALSE,Princess
17399,FALSE,Wizard
17399,FALSE,Bats
17399,FALSE,Guards
17399,FALSE,Fireball
17399,FALSE,P.E.K.K.A
17399,FALSE,Ice Wizard
17399,FALSE,Arrows
17399,FALSE,Hog Rider
18438,TRUE,Miner
18438,TRUE,Dart Goblin
18438,TRUE,Knight
18438,TRUE,Bats
18438,TRUE,Rascals
18438,TRUE,Mortar
18438,TRUE,Fireball
18438,TRUE,Barbarian Barrel
18775,FALSE,Magic Archer
18775,FALSE,Elite Barbarians
18775,FALSE,Electro Wizard
18775,FALSE,Giant Skeleton
18775,FALSE,Ice Wizard
18775,FALSE,Miner
18775,FALSE,Prince
18775,FALSE,Skeleton Army
19647,TRUE,Rage
19647,TRUE,Clone
19647,TRUE,Mirror
19647,TRUE,Night Witch
19647,TRUE,Minion Horde
19647,TRUE,Witch
19647,TRUE,Golem
19647,TRUE,Elixir Collector
19693,TRUE,Elite Barbarians
19693,TRUE,Zap
19693,TRUE,Inferno Tower
19693,TRUE,Minion Horde
19693,TRUE,Electro Wizard
19693,TRUE,Hog Rider
19693,TRUE,Fireball
19693,TRUE,Skeleton Army
9789,FALSE,Night Witch
9789,FALSE,Golem
9789,FALSE,Furnace
9789,FALSE,Baby Dragon
9789,FALSE,Lightning
9789,FALSE,Electro Wizard
9789,FALSE,Lumberjack
9789,FALSE,Ice Wizard
7215,TRUE,Elite Barbarians
7215,TRUE,P.E.K.K.A
7215,TRUE,The Log
7215,TRUE,Musketeer
7215,TRUE,Tombstone
7215,TRUE,Witch
7215,TRUE,Hog Rider
7215,TRUE,Fireball
18969,TRUE,Minion Horde
18969,TRUE,Lumberjack
18969,TRUE,Valkyrie
18969,TRUE,Royal Giant
18969,TRUE,Freeze
18969,TRUE,Giant Skeleton
18969,TRUE,Battle Ram
18969,TRUE,Witch
18967,TRUE,Minion Horde
18967,TRUE,Lumberjack
18967,TRUE,Valkyrie
18967,TRUE,Royal Giant
18967,TRUE,Freeze
18967,TRUE,Giant Skeleton
18967,TRUE,Battle Ram
18967,TRUE,Witch
2976,TRUE,P.E.K.K.A
2976,TRUE,Goblin Barrel
2976,TRUE,Ice Wizard
2976,TRUE,Wizard
2976,TRUE,Skeleton Army
2976,TRUE,Elite Barbarians
2976,TRUE,Zap
2976,TRUE,Electro Wizard
18331,FALSE,Inferno Dragon
18331,FALSE,Bandit
18331,FALSE,Skeleton Army
18331,FALSE,Spear Goblins
18331,FALSE,Sparky
18331,FALSE,Witch
18331,FALSE,The Log
18331,FALSE,Fire Spirits
13392,FALSE,The Log
13392,FALSE,Valkyrie
13392,FALSE,Magic Archer
13392,FALSE,Hog Rider
13392,FALSE,Lumberjack
13392,FALSE,Goblin Gang
13392,FALSE,Zap
13392,FALSE,Fisherman
779,FALSE,Lumberjack
779,FALSE,Barbarians
779,FALSE,Wizard
779,FALSE,Valkyrie
779,FALSE,Mega Knight
779,FALSE,Ram Rider
779,FALSE,Witch
779,FALSE,Zap
18341,FALSE,Witch
18341,FALSE,Hog Rider
18341,FALSE,Wizard
18341,FALSE,Electro Wizard
18341,FALSE,Rage
18341,FALSE,Bats
18341,FALSE,Mega Knight
18341,FALSE,Inferno Dragon
15555,TRUE,Prince
15555,TRUE,Bandit
15555,TRUE,Giant Skeleton
15555,TRUE,Magic Archer
15555,TRUE,Inferno Dragon
15555,TRUE,Mini P.E.K.K.A
15555,TRUE,Ice Wizard
15555,TRUE,Fireball
18346,FALSE,Goblin Barrel
18346,FALSE,Mini P.E.K.K.A
18346,FALSE,Giant Skeleton
18346,FALSE,Witch
18346,FALSE,Barbarian Barrel
18346,FALSE,Skeleton Army
18346,FALSE,Wall Breakers
18346,FALSE,Baby Dragon
18663,FALSE,Goblin Barrel
18663,FALSE,Wizard
18663,FALSE,Valkyrie
18663,FALSE,Witch
18663,FALSE,Wall Breakers
18663,FALSE,Fire Spirits
18663,FALSE,Bats
18663,FALSE,Tombstone
1266,TRUE,Fireball
1266,TRUE,Wizard
1266,TRUE,Prince
1266,TRUE,Witch
1266,TRUE,Hog Rider
1266,TRUE,Baby Dragon
1266,TRUE,Skeleton Army
1266,TRUE,Knight
6891,TRUE,Bandit
6891,TRUE,Baby Dragon
6891,TRUE,Witch
6891,TRUE,Musketeer
6891,TRUE,Prince
6891,TRUE,Wizard
6891,TRUE,Minion Horde
6891,TRUE,Goblin Hut
6874,TRUE,Bandit
6874,TRUE,Baby Dragon
6874,TRUE,Witch
6874,TRUE,Musketeer
6874,TRUE,Prince
6874,TRUE,Wizard
6874,TRUE,Minion Horde
6874,TRUE,Goblin Hut
19864,TRUE,Rocket
19864,TRUE,Archers
19864,TRUE,Arrows
19864,TRUE,Mortar
19864,TRUE,Knight
19864,TRUE,Ice Spirit
19864,TRUE,The Log
19864,TRUE,Skeletons
19379,FALSE,Skeleton Barrel
19379,FALSE,Ram Rider
19379,FALSE,Baby Dragon
19379,FALSE,Inferno Dragon
19379,FALSE,Minion Horde
19379,FALSE,Magic Archer
19379,FALSE,Skeleton Army
19379,FALSE,Fireball
1424,TRUE,Lava Hound
1424,TRUE,Lumberjack
1424,TRUE,Princess
1424,TRUE,Baby Dragon
1424,TRUE,Goblin Barrel
1424,TRUE,Goblin Gang
1424,TRUE,Bats
1424,TRUE,Zap
5976,TRUE,Skeleton Army
5976,TRUE,Tornado
5976,TRUE,Rage
5976,TRUE,Baby Dragon
5976,TRUE,Hunter
5976,TRUE,Inferno Dragon
5976,TRUE,Wizard
5976,TRUE,Freeze
9144,TRUE,Zap
9144,TRUE,Minions
9144,TRUE,Goblin Barrel
9144,TRUE,Knight
9144,TRUE,Balloon
9144,TRUE,Electro Wizard
9144,TRUE,Musketeer
9144,TRUE,Skeleton Army
3390,TRUE,Rage
3390,TRUE,Bowler
3390,TRUE,Minions
3390,TRUE,Miner
3390,TRUE,Skeleton Army
3390,TRUE,Magic Archer
3390,TRUE,Witch
3390,TRUE,Wall Breakers
18576,TRUE,Valkyrie
18576,TRUE,Fire Spirits
18576,TRUE,Goblin Barrel
18576,TRUE,Bats
18576,TRUE,Witch
18576,TRUE,Bomber
18576,TRUE,Giant Skeleton
18576,TRUE,Barbarian Barrel
19284,TRUE,Knight
19284,TRUE,X-Bow
19284,TRUE,Fireball
19284,TRUE,Tesla
19284,TRUE,Archers
19284,TRUE,Skeletons
19284,TRUE,Ice Spirit
19284,TRUE,The Log
19494,FALSE,Valkyrie
19494,FALSE,Ice Wizard
19494,FALSE,Freeze
19494,FALSE,Goblin Gang
19494,FALSE,Lumberjack
19494,FALSE,Wizard
19494,FALSE,Balloon
19494,FALSE,Skeleton Army
15082,TRUE,Dart Goblin
15082,TRUE,Bats
15082,TRUE,Arrows
15082,TRUE,Goblin Hut
15082,TRUE,Valkyrie
15082,TRUE,Bomber
15082,TRUE,Skeleton Army
15082,TRUE,Skeleton Barrel
18371,FALSE,Giant Skeleton
18371,FALSE,Balloon
18371,FALSE,Witch
18371,FALSE,Skeleton Army
18371,FALSE,Rage
18371,FALSE,Minions
18371,FALSE,Spear Goblins
18371,FALSE,Zap
19449,FALSE,Giant Skeleton
19449,FALSE,Archers
19449,FALSE,The Log
19449,FALSE,Valkyrie
19449,FALSE,Wizard
19449,FALSE,Hog Rider
19449,FALSE,Inferno Tower
19449,FALSE,Minion Horde
15712,TRUE,Baby Dragon
15712,TRUE,Witch
15712,TRUE,Musketeer
15712,TRUE,Goblin Gang
15712,TRUE,Skeleton Army
15712,TRUE,Barbarian Barrel
15712,TRUE,Archers
15712,TRUE,Ice Golem
1671,TRUE,Minion Horde
1671,TRUE,Wizard
1671,TRUE,Dark Prince
1671,TRUE,P.E.K.K.A
1671,TRUE,Lumberjack
1671,TRUE,Zap
1671,TRUE,The Log
1671,TRUE,Goblin Barrel
19402,TRUE,Night Witch
19402,TRUE,Zap
19402,TRUE,Valkyrie
19402,TRUE,Golem
19402,TRUE,Minions
19402,TRUE,Inferno Dragon
19402,TRUE,Fireball
19402,TRUE,Prince
694,FALSE,Goblin Hut
694,FALSE,Inferno Tower
694,FALSE,Barbarian Hut
694,FALSE,Tombstone
694,FALSE,Furnace
694,FALSE,Mortar
694,FALSE,Cannon
694,FALSE,Tornado
19615,TRUE,Inferno Dragon
19615,TRUE,Executioner
19615,TRUE,Valkyrie
19615,TRUE,Goblin Gang
19615,TRUE,Wizard
19615,TRUE,Miner
19615,TRUE,Goblin Barrel
19615,TRUE,Skeleton Army
10895,TRUE,Hog Rider
10895,TRUE,Skeleton Army
10895,TRUE,Valkyrie
10895,TRUE,Bats
10895,TRUE,Fireball
10895,TRUE,Zap
10895,TRUE,Prince
10895,TRUE,Baby Dragon
18684,TRUE,Bats
18684,TRUE,Spear Goblins
18684,TRUE,Miner
18684,TRUE,Barbarian Barrel
18684,TRUE,Mortar
18684,TRUE,Goblin Gang
18684,TRUE,Rascals
18684,TRUE,Fireball
18931,FALSE,Goblin Barrel
18931,FALSE,Archers
18931,FALSE,Valkyrie
18931,FALSE,Skeleton Army
18931,FALSE,Musketeer
18931,FALSE,Hog Rider
18931,FALSE,Princess
18931,FALSE,Inferno Tower
18999,FALSE,Tornado
18999,FALSE,X-Bow
18999,FALSE,Mega Minion
18999,FALSE,Rocket
18999,FALSE,Golem
18999,FALSE,Inferno Tower
18999,FALSE,P.E.K.K.A
18999,FALSE,Flying Machine
18288,TRUE,Valkyrie
18288,TRUE,Executioner
18288,TRUE,Electro Wizard
18288,TRUE,Fisherman
18288,TRUE,Arrows
18288,TRUE,Ram Rider
18288,TRUE,Minions
18288,TRUE,Inferno Tower
19963,FALSE,Executioner
19963,FALSE,Electro Dragon
19963,FALSE,Bowler
19963,FALSE,Goblin Barrel
19963,FALSE,Hog Rider
19963,FALSE,Tornado
19963,FALSE,Mega Knight
19963,FALSE,Zap
19253,TRUE,Princess
19253,TRUE,Rage
19253,TRUE,Inferno Tower
19253,TRUE,Skeleton Army
19253,TRUE,Wizard
19253,TRUE,Balloon
19253,TRUE,Minion Horde
19253,TRUE,Prince
12858,TRUE,P.E.K.K.A
12858,TRUE,Furnace
12858,TRUE,The Log
12858,TRUE,Wizard
12858,TRUE,Hog Rider
12858,TRUE,Witch
12858,TRUE,Fire Spirits
12858,TRUE,Minion Horde
18952,FALSE,Battle Ram
18952,FALSE,Royal Ghost
18952,FALSE,Minions
18952,FALSE,Poison
18952,FALSE,Bandit
18952,FALSE,P.E.K.K.A
18952,FALSE,Zap
18952,FALSE,Electro Wizard
14283,FALSE,X-Bow
14283,FALSE,Mini P.E.K.K.A
14283,FALSE,Mega Minion
14283,FALSE,Rocket
14283,FALSE,Hog Rider
14283,FALSE,Inferno Tower
14283,FALSE,Tornado
14283,FALSE,Barbarian Barrel
19827,FALSE,Skeleton Army
19827,FALSE,Minion Horde
19827,FALSE,Minions
19827,FALSE,Valkyrie
19827,FALSE,Musketeer
19827,FALSE,Goblin Barrel
19827,FALSE,Witch
19827,FALSE,Ram Rider
19922,FALSE,Witch
19922,FALSE,Freeze
19922,FALSE,Valkyrie
19922,FALSE,Skeleton Army
19922,FALSE,Baby Dragon
19922,FALSE,Ram Rider
19922,FALSE,Lumberjack
19922,FALSE,Magic Archer
7143,TRUE,Skeleton Army
7143,TRUE,Goblin Barrel
7143,TRUE,Tornado
7143,TRUE,Barbarian Barrel
7143,TRUE,Prince
7143,TRUE,Wizard
7143,TRUE,Golem
7143,TRUE,Baby Dragon
19609,TRUE,Wizard
19609,TRUE,The Log
19609,TRUE,Minion Horde
19609,TRUE,Giant Skeleton
19609,TRUE,Goblin Barrel
19609,TRUE,Zap
19609,TRUE,Lumberjack
19609,TRUE,Fireball
8993,FALSE,Magic Archer
8993,FALSE,Inferno Dragon
8993,FALSE,Baby Dragon
8993,FALSE,Bandit
8993,FALSE,Battle Ram
8993,FALSE,Wizard
8993,FALSE,Mini P.E.K.K.A
8993,FALSE,Skeleton Army
18860,FALSE,Balloon
18860,FALSE,Bats
18860,FALSE,Zap
18860,FALSE,Wizard
18860,FALSE,Lumberjack
18860,FALSE,Skeleton Army
18860,FALSE,Mini P.E.K.K.A
18860,FALSE,Elite Barbarians
19944,TRUE,Hunter
19944,TRUE,Goblin Barrel
19944,TRUE,Witch
19944,TRUE,Valkyrie
19944,TRUE,Freeze
19944,TRUE,Balloon
19944,TRUE,Mega Knight
19944,TRUE,Skeleton Army
19058,FALSE,Fireball
19058,FALSE,Bomber
19058,FALSE,Spear Goblins
19058,FALSE,Goblin Barrel
19058,FALSE,Minion Horde
19058,FALSE,Skeleton Army
19058,FALSE,Rage
19058,FALSE,Balloon
18989,FALSE,Witch
18989,FALSE,Goblin Barrel
18989,FALSE,Barbarian Barrel
18989,FALSE,Lumberjack
18989,FALSE,Night Witch
18989,FALSE,Musketeer
18989,FALSE,Mega Knight
18989,FALSE,Inferno Dragon
19389,TRUE,Fire Spirits
19389,TRUE,Wizard
19389,TRUE,Electro Wizard
19389,TRUE,Fireball
19389,TRUE,P.E.K.K.A
19389,TRUE,Elite Barbarians
19389,TRUE,Rage
19389,TRUE,Arrows
18861,FALSE,Balloon
18861,FALSE,Electro Dragon
18861,FALSE,Skeleton Army
18861,FALSE,Night Witch
18861,FALSE,Executioner
18861,FALSE,Mega Knight
18861,FALSE,Royal Ghost
18861,FALSE,Bandit
19339,TRUE,Wizard
19339,TRUE,Mega Knight
19339,TRUE,Barbarian Barrel
19339,TRUE,Electro Wizard
19339,TRUE,The Log
