pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,28.4,0.075,2009,30.7,15.7,4.6,4.8,1,4,Picks 1-10
5,MIN,Ricky Rubio,NA,11,665,20128,7399,2760,5045,0.389,0.326,0.843,42,0.1,2009,30.3,11.1,4.2,7.6,1,5,Picks 1-10
6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,-1.1,-0.015,2009,22.9,9.2,1.9,3.9,1,6,Picks 1-10
7,GSW,Stephen Curry,Davidson,13,816,28031,19827,3789,5326,0.473,0.428,0.908,119.4,0.204,2009,34.4,24.3,4.6,6.5,1,7,Picks 1-10
8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,16.4,0.102,2009,18.8,7.9,5.8,0.8,1,8,Picks 1-10
9,TOR,DeMar DeRozan,USC,13,936,32006,19298,4122,3638,0.465,0.285,0.836,82.7,0.124,2009,34.2,20.6,4.4,3.9,1,9,Picks 1-10
10,MIL,Brandon Jennings,NA,9,555,16844,7801,1659,3151,0.387,0.345,0.796,29.9,0.085,2009,30.3,14.1,3,5.7,1,10,Picks 1-10
11,BRK,Terrence Williams,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,-0.2,-0.004,2009,19.1,7.1,3.6,2.4,1,11,Picks 11-20
12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,18.3,0.063,2009,25.9,11.2,3.2,1.9,1,12,Picks 11-20
13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,0.439,0.136,0.738,20.2,0.134,2009,16.9,6.7,4.2,0.4,1,13,Picks 11-20
14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,2.9,0.038,2009,13.9,4.4,3,0.5,1,14,Picks 11-20
15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,4.5,0.053,2009,14.1,5.2,2.6,0.7,1,15,Picks 11-20
16,CHI,James Johnson,Wake Forest,13,728,14953,5677,2614,1538,0.475,0.302,0.68,27,0.087,2009,20.5,7.8,3.6,2.1,1,16,Picks 11-20
17,PHI,Jrue Holiday,UCLA,13,819,27163,13212,3276,5225,0.46,0.361,0.777,54.5,0.096,2009,33.2,16.1,4,6.4,1,17,Picks 11-20
18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,0.46,0.359,0.77,42.1,0.126,2009,29.2,12.7,2.7,6,1,18,Picks 11-20
19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,0.444,0.36,0.844,52.4,0.113,2009,26.8,12.2,2.4,5.6,1,19,Picks 11-20
20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,0.392,0.35,0.721,3.3,0.041,2009,14.6,4.3,1.3,2.8,1,20,Picks 11-20
21,NOP,Darren Collison,UCLA,11,711,20833,8861,1889,3545,0.471,0.394,0.853,49.9,0.115,2009,29.3,12.5,2.7,5,1,21,Picks 21-30
22,POR,Victor Claver,NA,3,80,1072,258,178,56,0.398,0.293,0.585,0.2,0.011,2009,13.4,3.2,2.2,0.7,1,22,Picks 21-30
