pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
11,CHA,Malik Monk,Kentucky,5,285,5567,2802,633,536,0.418,0.353,0.829,4.7,0.041,2017,19.5,9.8,2.2,1.9,1,11,Picks 11-20
12,DET,Luke Kennard,Duke,5,277,6442,2724,792,570,0.449,0.422,0.864,13.1,0.098,2017,23.3,9.8,2.9,2.1,1,12,Picks 11-20
13,DEN,Donovan Mitchell,Louisville,5,324,10906,7685,1345,1423,0.441,0.36,0.835,27.3,0.12,2017,33.7,23.7,4.2,4.4,1,13,Picks 11-20
14,MIA,Bam Adebayo,Kentucky,5,321,8975,4182,2634,1118,0.553,0.146,0.74,32.1,0.172,2017,28,13,8.2,3.5,1,14,Picks 11-20
15,POR,Justin Jackson,UNC,5,255,4779,1656,637,276,0.426,0.321,0.799,5.3,0.053,2017,18.7,6.5,2.5,1.1,1,15,Picks 11-20
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,0.4,0.066,2017,13.5,3.9,2.7,0.9,1,16,Picks 11-20
17,MIL,D.J. Wilson,Michigan,5,145,1797,641,450,107,0.417,0.327,0.618,2.8,0.073,2017,12.4,4.4,3.1,0.7,1,17,Picks 11-20
18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,2.7,0.104,2017,8.5,3.3,1.9,0.3,1,18,Picks 11-20
19,ATL,John Collins,Wake Forest,5,289,8389,4800,2416,451,0.562,0.382,0.78,28.3,0.162,2017,29,16.6,8.4,1.6,1,19,Picks 11-20
20,POR,Harry Giles,Duke,3,142,1835,832,543,174,0.511,0.258,0.671,3,0.079,2017,12.9,5.9,3.8,1.2,1,20,Picks 11-20
21,OKC,Terrance Ferguson,NA,4,204,4000,924,263,144,0.404,0.334,0.753,4.4,0.053,2017,19.6,4.5,1.3,0.7,1,21,Picks 21-30
22,BRK,Jarrett Allen,Texas,5,335,8883,3851,2913,466,0.623,0.189,0.698,34.6,0.187,2017,26.5,11.5,8.7,1.4,1,22,Picks 21-30
23,TOR,OG Anunoby,Indiana,5,295,7873,3056,1213,414,0.469,0.369,0.706,16.8,0.103,2017,26.7,10.4,4.1,1.4,1,23,Picks 21-30
24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,0.2,0.084,2017,3.7,0.9,0.7,0.2,1,24,Picks 21-30
25,ORL,Anžejs Pasečņiks,NA,2,28,443,156,108,19,0.521,0,0.586,0.4,0.038,2017,15.8,5.6,3.9,0.7,1,25,Picks 21-30
26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,-0.2,-0.015,2017,8.7,2.3,2.9,0.7,1,26,Picks 21-30
27,BRK,Kyle Kuzma,Utah,5,331,10020,5103,2038,696,0.448,0.338,0.722,14.3,0.069,2017,30.3,15.4,6.2,2.1,1,27,Picks 21-30
28,LAL,Tony Bradley,UNC,5,157,1912,748,699,84,0.635,0.429,0.675,7.3,0.184,2017,12.2,4.8,4.5,0.5,1,28,Picks 21-30
29,SAS,Derrick White,Colorado,5,241,6215,2790,793,929,0.444,0.341,0.834,13.9,0.107,2017,25.8,11.6,3.3,3.9,1,29,Picks 21-30
30,UTA,Josh Hart,Villanova,5,286,7763,2731,1646,571,0.448,0.348,0.736,15.1,0.094,2017,27.1,9.5,5.8,2,1,30,Picks 21-30
1,PHO,Deandre Ayton,Arizona,4,215,6610,3455,2272,349,0.595,0.196,0.751,22.1,0.161,2018,30.7,16.1,10.6,1.6,1,1,Picks 1-10
2,SAC,Marvin Bagley III,Duke,4,150,3713,2010,1115,133,0.493,0.298,0.665,6.3,0.081,2018,24.8,13.4,7.4,0.9,1,2,Picks 1-10
3,ATL,Luka Dončić,NA,4,243,8186,6327,2067,1929,0.456,0.332,0.734,26.3,0.154,2018,33.7,26,8.5,7.9,1,3,Picks 1-10
4,MEM,Jaren Jackson Jr.,Michigan State,4,185,5037,2932,950,217,0.457,0.353,0.779,11.6,0.11,2018,27.2,15.8,5.1,1.2,1,4,Picks 1-10
5,DAL,Trae Young,Oklahoma,4,257,8572,6396,1007,2300,0.437,0.352,0.868,22.6,0.126,2018,33.4,24.9,3.9,8.9,1,5,Picks 1-10
6,ORL,Mo Bamba,Texas,4,204,3641,1479,1187,180,0.47,0.333,0.68,8.5,0.112,2018,17.8,7.3,5.8,0.9,1,6,Picks 1-10
7,CHI,Wendell Carter Jr.,Duke,4,192,5238,2260,1675,372,0.507,0.291,0.738,12.4,0.114,2018,27.3,11.8,8.7,1.9,1,7,Picks 1-10
8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,0.458,0.378,0.827,5.5,0.037,2018,32.9,20,3,3.3,1,8,Picks 1-10
9,NYK,Kevin Knox,Kentucky,4,203,3956,1608,615,170,0.368,0.342,0.704,-0.5,-0.006,2018,19.5,7.9,3,0.8,1,9,Picks 1-10
10,PHI,Mikal Bridges,Villanova,4,285,8826,3096,1117,577,0.505,0.374,0.832,22.1,0.12,2018,31,10.9,3.9,2,1,10,Picks 1-10
11,CHA,Shai Gilgeous-Alexander,Kentucky,4,230,7269,4026,1013,945,0.467,0.345,0.807,16.2,0.107,2018,31.6,17.5,4.4,4.1,1,11,Picks 11-20
12,LAC,Miles Bridges,Michigan State,4,269,7726,3441,1500,564,0.467,0.34,0.808,13.7,0.085,2018,28.7,12.8,5.6,2.1,1,12,Picks 11-20
13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,-0.1,-0.003,2018,14.2,4.5,1.8,1.2,1,13,Picks 11-20
14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,0.518,0.419,0.795,9.6,0.15,2018,24.6,14.1,6.1,1.1,1,14,Picks 11-20
15,WAS,Troy Brown Jr.,Oregon,4,203,3904,1346,803,342,0.426,0.33,0.754,4.6,0.056,2018,19.2,6.6,4,1.7,1,15,Picks 11-20
16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,0,0.011,2018,11,3.7,1.2,0.9,1,16,Picks 11-20
17,MIL,Donte DiVincenzo,Villanova,4,179,4161,1579,836,429,0.421,0.34,0.755,8.6,0.099,2018,23.2,8.8,4.7,2.4,1,17,Picks 11-20
18,SAS,Lonnie Walker IV,Miami (FL),4,192,3858,1708,450,301,0.41,0.339,0.788,1.3,0.017,2018,20.1,8.9,2.3,1.6,1,18,Picks 11-20
19,ATL,Kevin Huerter,Maryland,4,251,7414,2825,866,811,0.43,0.376,0.787,8.3,0.054,2018,29.5,11.3,3.5,3.2,1,19,Picks 11-20
20,MIN,Josh Okogie,Georgia Tech,4,228,4909,1504,702,271,0.4,0.273,0.755,5,0.049,2018,21.5,6.6,3.1,1.2,1,20,Picks 11-20
21,UTA,Grayson Allen,Duke,4,175,3764,1637,434,259,0.424,0.386,0.837,7.1,0.09,2018,21.5,9.4,2.5,1.5,1,21,Picks 21-30
22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,1.1,0.03,2018,17.4,5.4,3.7,0.8,1,22,Picks 21-30
23,IND,Aaron Holiday,UCLA,4,226,4142,1669,385,521,0.415,0.371,0.827,4.1,0.047,2018,18.3,7.4,1.7,2.3,1,23,Picks 21-30
24,POR,Anfernee Simons,NA,4,207,4249,2055,448,404,0.425,0.39,0.828,4.6,0.052,2018,20.5,9.9,2.2,2,1,24,Picks 21-30
25,LAL,Moritz Wagner,Michigan,4,178,2567,1252,560,179,0.486,0.32,0.812,4.8,0.089,2018,14.4,7,3.1,1,1,25,Picks 21-30
26,PHI,Landry Shamet,Wichita State,4,238,5548,2112,432,386,0.408,0.39,0.837,9.7,0.084,2018,23.3,8.9,1.8,1.6,1,26,Picks 21-30
27,BOS,Robert Williams,Texas A&M,4,160,3064,1116,1024,221,0.725,0,0.65,16,0.25,2018,19.2,7,6.4,1.4,1,27,Picks 21-30
28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,-0.6,-0.047,2018,10.5,2.8,1.1,0.9,1,28,Picks 21-30
29,BRK,Džanan Musa,NA,2,49,526,211,91,45,0.376,0.227,0.726,0,0.003,2018,10.7,4.3,1.9,0.9,1,29,Picks 21-30
30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,2.4,0.068,2018,17.8,6.8,4.3,1,1,30,Picks 21-30
1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,10.6,0.189,2019,31.7,25.7,7,3.2,1,1,Picks 1-10
2,MEM,Ja Morant,Murray State,3,176,5653,3630,780,1269,0.473,0.321,0.752,12.6,0.107,2019,32.1,20.6,4.4,7.2,1,2,Picks 1-10
3,NYK,RJ Barrett,Duke,3,176,5802,2930,965,485,0.421,0.364,0.687,5,0.041,2019,33,16.6,5.5,2.8,1,3,Picks 1-10
4,LAL,De'Andre Hunter,Virginia,3,116,3569,1513,498,192,0.434,0.356,0.778,2.2,0.03,2019,30.8,13,4.3,1.7,1,4,Picks 1-10
5,CLE,Darius Garland,Vanderbilt,3,160,5240,2622,396,932,0.444,0.375,0.877,4.2,0.038,2019,32.8,16.4,2.5,5.8,1,5,Picks 1-10
6,PHO,Jarrett Culver,Texas Tech,3,124,2253,862,355,160,0.407,0.29,0.505,0.2,0.003,2019,18.2,7,2.9,1.3,1,6,Picks 1-10
7,CHI,Coby White,UNC,3,173,4931,2446,635,613,0.415,0.366,0.847,5.5,0.053,2019,28.5,14.1,3.7,3.5,1,7,Picks 1-10
8,ATL,Jaxson Hayes,Texas,3,171,2845,1328,701,114,0.647,0.318,0.716,10.5,0.178,2019,16.6,7.8,4.1,0.7,1,8,Picks 1-10
9,WAS,Rui Hachimura,Gonzaga,3,123,3571,1598,665,187,0.471,0.335,0.796,4.4,0.059,2019,29,13,5.4,1.5,1,9,Picks 1-10
10,ATL,Cam Reddish,Duke,3,127,3202,1353,412,164,0.384,0.325,0.841,0.8,0.011,2019,25.2,10.7,3.2,1.3,1,10,Picks 1-10
11,MIN,Cameron Johnson,UNC,3,172,4123,1730,617,229,0.439,0.389,0.835,10,0.116,2019,24,10.1,3.6,1.3,1,11,Picks 11-20
12,CHA,P.J. Washington,Kentucky,3,165,4805,1955,976,370,0.446,0.38,0.702,6.7,0.067,2019,29.1,11.8,5.9,2.2,1,12,Picks 11-20
13,MIA,Tyler Herro,Kentucky,3,155,4647,2478,713,486,0.431,0.375,0.852,5.2,0.053,2019,30,16,4.6,3.1,1,13,Picks 11-20
14,BOS,Romeo Langford,Indiana,3,94,1381,342,180,45,0.396,0.305,0.662,1.5,0.053,2019,14.7,3.6,1.9,0.5,1,14,Picks 11-20
15,DET,Sekou Doumbouya,NA,3,96,1639,542,267,66,0.388,0.256,0.693,-0.4,-0.012,2019,17.1,5.6,2.8,0.7,1,15,Picks 11-20
16,ORL,Chuma Okeke,Auburn,2,94,2303,751,409,177,0.397,0.323,0.795,2.6,0.055,2019,24.5,8,4.4,1.9,1,16,Picks 11-20
17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,145,2920,1414,393,330,0.388,0.33,0.715,0.2,0.004,2019,20.1,9.8,2.7,2.3,1,17,Picks 11-20
18,IND,Goga Bitadze,NA,3,134,1445,575,357,87,0.446,0.214,0.687,2.7,0.089,2019,10.8,4.3,2.7,0.6,1,18,Picks 11-20
19,SAS,Luka Šamanić,NA,2,36,356,138,78,21,0.43,0.294,0.576,0.1,0.015,2019,9.9,3.8,2.2,0.6,1,19,Picks 11-20
20,BOS,Matisse Thybulle,Washington,3,173,3719,802,328,192,0.441,0.319,0.598,7.3,0.094,2019,21.5,4.6,1.9,1.1,1,20,Picks 11-20
21,OKC,Brandon Clarke,Gonzaga,3,162,3582,1784,920,240,0.587,0.294,0.717,13.8,0.184,2019,22.1,11,5.7,1.5,1,21,Picks 21-30
22,BOS,Grant Williams,Tennessee,3,187,3459,941,533,193,0.45,0.378,0.734,6.5,0.09,2019,18.5,5,2.9,1,1,22,Picks 21-30
23,UTA,Darius Bazley,NA,3,169,4293,1618,990,211,0.397,0.305,0.699,1.4,0.016,2019,25.4,9.6,5.9,1.2,1,23,Picks 21-30
24,PHI,Ty Jerome,Virginia,3,112,1917,795,215,273,0.398,0.344,0.784,2.1,0.052,2019,17.1,7.1,1.9,2.4,1,24,Picks 21-30
25,POR,Nassir Little,UNC,3,138,2301,802,472,99,0.455,0.317,0.727,3.7,0.078,2019,16.7,5.8,3.4,0.7,1,25,Picks 21-30
26,CLE,Dylan Windler,Belmont,2,68,857,255,169,58,0.435,0.359,0.778,1.3,0.071,2019,12.6,3.8,2.5,0.9,1,26,Picks 21-30
27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,0.388,0.314,0.84,0.4,0.054,2019,6.7,2.7,1.4,0.4,1,27,Picks 21-30
28,GSW,Jordan Poole,Michigan,3,161,3791,1982,375,417,0.404,0.325,0.874,4.2,0.054,2019,23.5,12.3,2.3,2.6,1,28,Picks 21-30
29,SAS,Keldon Johnson,Kentucky,3,141,3989,1898,797,237,0.481,0.396,0.749,7.6,0.091,2019,28.3,13.5,5.7,1.7,1,29,Picks 21-30
30,MIL,Kevin Porter Jr.,USC,3,115,3170,1463,415,514,0.421,0.347,0.68,0.1,0.001,2019,27.6,12.7,3.6,4.5,1,30,Picks 21-30
1,MIN,Anthony Edwards,Georgia,2,125,4148,2551,589,400,0.425,0.341,0.776,3.9,0.045,2020,33.2,20.4,4.7,3.2,1,1,Picks 1-10
2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,0.7,0.042,2020,21.4,11.5,5.8,0.7,1,2,Picks 1-10
3,CHA,LaMelo Ball,NA,2,104,3202,1865,678,713,0.429,0.361,0.811,7.1,0.106,2020,30.8,17.9,6.5,6.9,1,3,Picks 1-10
4,CHI,Patrick Williams,Florida State,2,76,2108,688,338,102,0.486,0.396,0.736,2.7,0.061,2020,27.7,9.1,4.4,1.3,1,4,Picks 1-10
5,CLE,Isaac Okoro,Auburn,2,110,3413,1031,340,208,0.435,0.299,0.746,3.6,0.051,2020,31,9.4,3.1,1.9,1,5,Picks 1-10
6,ATL,Onyeka Okongwu,USC,2,76,1159,453,306,46,0.679,0,0.681,4.1,0.17,2020,15.3,6,4,0.6,1,6,Picks 1-10
7,DET,Killian Hayes,NA,2,72,1793,461,202,325,0.358,0.276,0.818,-1.2,-0.033,2020,24.9,6.4,2.8,4.5,1,7,Picks 1-10
8,NYK,Obi Toppin,Dayton,2,116,1496,646,331,77,0.505,0.264,0.746,3.6,0.115,2020,12.9,5.6,2.9,0.7,1,8,Picks 1-10
9,WAS,Deni Avdija,NA,2,112,2616,790,557,159,0.43,0.311,0.726,3.5,0.064,2020,23.4,7.1,5,1.4,1,9,Picks 1-10
10,PHO,Jalen Smith,Maryland,2,60,622,276,201,14,0.475,0.275,0.754,1.5,0.119,2020,10.4,4.6,3.4,0.2,1,10,Picks 1-10
11,SAS,Devin Vassell,Florida State,2,113,2367,929,389,142,0.424,0.346,0.822,3.7,0.075,2020,20.9,8.2,3.4,1.3,1,11,Picks 11-20
12,SAC,Tyrese Haliburton,Iowa State,2,113,3658,1563,389,732,0.466,0.413,0.841,8.3,0.109,2020,32.4,13.8,3.4,6.5,1,12,Picks 11-20
13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,0.391,0.298,0.841,0.7,0.027,2020,16,6.2,1.4,2.2,1,13,Picks 11-20
14,BOS,Aaron Nesmith,Vanderbilt,2,87,1112,363,197,36,0.411,0.31,0.809,1.2,0.051,2020,12.8,4.2,2.3,0.4,1,14,Picks 11-20
15,ORL,Cole Anthony,UNC,2,93,2789,1420,488,463,0.397,0.337,0.845,1.2,0.02,2020,30,15.3,5.2,5,1,15,Picks 11-20
16,POR,Isaiah Stewart,Washington,2,118,2754,952,874,114,0.539,0.276,0.683,6.1,0.106,2020,23.3,8.1,7.4,1,1,16,Picks 11-20
17,MIN,Aleksej Pokusevski,NA,2,87,1786,596,394,147,0.358,0.278,0.69,-1.9,-0.052,2020,20.5,6.9,4.5,1.7,1,17,Picks 11-20
18,DAL,Josh Green,Arizona,2,83,1078,294,173,86,0.484,0.25,0.655,2.3,0.101,2020,13,3.5,2.1,1,1,18,Picks 11-20
19,BRK,Saddiq Bey,Villanova,2,128,3859,1782,655,258,0.395,0.364,0.836,5.6,0.07,2020,30.1,13.9,5.1,2,1,19,Picks 11-20
20,MIA,Precious Achiuwa,Memphis,2,109,1844,662,539,84,0.471,0.3,0.538,2.7,0.07,2020,16.9,6.1,4.9,0.8,1,20,Picks 11-20
21,PHI,Tyrese Maxey,Kentucky,2,112,2751,1350,284,356,0.466,0.358,0.871,6.5,0.114,2020,24.6,12.1,2.5,3.2,1,21,Picks 21-30
22,DEN,Zeke Nnaji,Arizona,2,81,1048,401,209,25,0.518,0.452,0.649,2.8,0.129,2020,12.9,5,2.6,0.3,1,22,Picks 21-30
23,NYK,Leandro Bolmaro,NA,1,25,188,28,35,11,0.281,0.167,0.889,-0.1,-0.019,2020,7.5,1.1,1.4,0.4,1,23,Picks 21-30
24,MIL,R.J. Hampton,NA,2,93,1703,655,301,189,0.41,0.34,0.64,0.2,0.007,2020,18.3,7,3.2,2,1,24,Picks 21-30
25,OKC,Immanuel Quickley,Kentucky,2,119,2413,1246,264,291,0.383,0.361,0.899,4.7,0.094,2020,20.3,10.5,2.2,2.4,1,25,Picks 21-30
26,BOS,Payton Pritchard,Oregon,2,115,1871,740,235,205,0.419,0.394,0.915,3.4,0.088,2020,16.3,6.4,2,1.8,1,26,Picks 21-30
27,UTA,Udoka Azubuike,Kansas,2,30,235,88,75,0,0.698,0,0.667,0.7,0.141,2020,7.8,2.9,2.5,0,1,27,Picks 21-30
28,LAL,Jaden McDaniels,Washington,2,119,2981,925,471,137,0.446,0.33,0.706,3.2,0.052,2020,25.1,7.8,4,1.2,1,28,Picks 21-30
29,TOR,Malachi Flynn,San Diego State,2,81,1233,451,154,173,0.369,0.314,0.785,1.1,0.043,2020,15.2,5.6,1.9,2.1,1,29,Picks 21-30
30,BOS,Desmond Bane,TCU,2,124,3210,1625,462,258,0.464,0.424,0.879,7.8,0.116,2020,25.9,13.1,3.7,2.1,1,30,Picks 21-30
1,DET,Cade Cunningham,Oklahoma State,1,44,1400,692,241,227,0.394,0.327,0.856,-0.8,-0.028,2021,31.8,15.7,5.5,5.2,1,1,Picks 1-10
2,HOU,Jalen Green,NA,1,43,1307,627,134,100,0.387,0.311,0.818,-0.8,-0.03,2021,30.4,14.6,3.1,2.3,1,2,Picks 1-10
3,CLE,Evan Mobley,USC,1,50,1703,743,403,128,0.503,0.265,0.672,4.2,0.117,2021,34.1,14.9,8.1,2.6,1,3,Picks 1-10
4,TOR,Scottie Barnes,Florida State,1,49,1736,706,365,164,0.47,0.313,0.733,3.8,0.104,2021,35.4,14.4,7.4,3.3,1,4,Picks 1-10
5,ORL,Jalen Suggs,Gonzaga,1,39,1100,492,146,170,0.367,0.228,0.776,-1.2,-0.052,2021,28.2,12.6,3.7,4.4,1,5,Picks 1-10
6,OKC,Josh Giddey,NA,1,53,1664,659,412,339,0.418,0.267,0.705,0.9,0.027,2021,31.4,12.4,7.8,6.4,1,6,Picks 1-10
7,GSW,Jonathan Kuminga,NA,1,47,680,374,132,33,0.511,0.322,0.655,1.7,0.117,2021,14.5,8,2.8,0.7,1,7,Picks 1-10
8,ORL,Franz Wagner,Michigan,1,60,1918,935,275,178,0.466,0.362,0.854,2.9,0.072,2021,32,15.6,4.6,3,1,8,Picks 1-10
9,SAC,Davion Mitchell,Baylor,1,53,1376,551,125,183,0.406,0.326,0.558,0.2,0.006,2021,26,10.4,2.4,3.5,1,9,Picks 1-10
10,NOP,Ziaire Williams,Stanford,1,40,861,291,71,35,0.441,0.284,0.76,1,0.057,2021,21.5,7.3,1.8,0.9,1,10,Picks 1-10
11,CHA,James Bouknight,UConn,1,28,296,140,48,23,0.353,0.347,0.871,0.1,0.015,2021,10.6,5,1.7,0.8,1,11,Picks 11-20
12,SAS,Joshua Primo,Alabama,1,30,476,147,52,42,0.369,0.32,0.76,0.1,0.007,2021,15.9,4.9,1.7,1.4,1,12,Picks 11-20
13,IND,Chris Duarte,Oregon,1,50,1433,671,205,110,0.435,0.364,0.792,1.3,0.045,2021,28.7,13.4,4.1,2.2,1,13,Picks 11-20
14,GSW,Moses Moody,Arkansas,1,34,322,109,46,11,0.376,0.306,0.824,0.4,0.065,2021,9.5,3.2,1.4,0.3,1,14,Picks 11-20
15,WAS,Corey Kispert,Gonzaga,1,53,1051,360,135,50,0.43,0.322,0.884,1.2,0.055,2021,19.8,6.8,2.5,0.9,1,15,Picks 11-20
16,OKC,Alperen Şengün,NA,1,50,937,437,240,125,0.481,0.277,0.698,1.3,0.065,2021,18.7,8.7,4.8,2.5,1,16,Picks 11-20
17,MEM,Trey Murphy III,Virginia,1,41,519,160,88,20,0.338,0.336,0.857,0.6,0.052,2021,12.7,3.9,2.1,0.5,1,17,Picks 11-20
18,OKC,Tre Mann,Florida,1,45,898,390,100,45,0.383,0.365,0.75,0.2,0.013,2021,20,8.7,2.2,1,1,18,Picks 11-20
19,NYK,Kai Jones,Texas,1,17,48,16,8,4,0.636,0.5,0.25,0,-0.022,2021,2.8,0.9,0.5,0.2,1,19,Picks 11-20
20,ATL,Jalen Johnson,Duke,1,14,64,25,16,1,0.45,0.375,0.667,0,0.009,2021,4.6,1.8,1.1,0.1,1,20,Picks 11-20
21,NYK,Keon Johnson,Tennessee,1,15,135,53,21,13,0.333,0.273,0.762,0.1,0.021,2021,9,3.5,1.4,0.9,1,21,Picks 21-30
22,LAL,Isaiah Jackson,Kentucky,1,20,193,115,55,7,0.542,0.429,0.667,0.7,0.173,2021,9.7,5.8,2.8,0.4,1,22,Picks 21-30
23,HOU,Usman Garuba,NA,1,15,105,19,34,8,0.333,0.154,0.5,0.1,0.052,2021,7,1.3,2.3,0.5,1,23,Picks 21-30
24,HOU,Josh Christopher,Arizona State,1,50,827,370,107,87,0.452,0.322,0.773,0.3,0.017,2021,16.5,7.4,2.1,1.7,1,24,Picks 21-30
25,LAC,Quentin Grimes,Houston,1,39,696,253,77,38,0.421,0.398,0.647,1.3,0.091,2021,17.8,6.5,2,1,1,25,Picks 21-30
26,DEN,Bones Hyland,VCU,1,46,829,403,126,93,0.369,0.346,0.881,0.5,0.027,2021,18,8.8,2.7,2,1,26,Picks 21-30
27,BRK,Cam Thomas,LSU,1,48,939,470,125,62,0.445,0.273,0.808,0.9,0.046,2021,19.6,9.8,2.6,1.3,1,27,Picks 21-30
28,PHI,Jaden Springer,Tennessee,1,2,6,2,2,0,1,0,0,0,0.141,2021,3,1,1,0,1,28,Picks 21-30
29,PHO,Day'Ron Sharpe,UNC,1,30,373,182,152,15,0.571,0.25,0.568,1.1,0.146,2021,12.4,6.1,5.1,0.5,1,29,Picks 21-30
30,UTA,Santi Aldama,Loyola (MD),1,27,277,90,64,14,0.381,0.103,0.6,0.1,0.025,2021,10.3,3.3,2.4,0.5,1,30,Picks 21-30
