player,level,gender,division,team_name,statistic,value
Zeke Thoreson,D1,Men,Division 1 Men,Colorado Mambird,Assists,6
Zeke Thoreson,D1,Men,Division 1 Men,Colorado Mambird,Points,10
Zeke Thoreson,D1,Men,Division 1 Men,Colorado Mambird,Plus Minus,21
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,Turns,7
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,Ds,8
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,Assists,8
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,Points,12
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,Plus Minus,21
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,Turns,5
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,Ds,8
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,Assists,1
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,Points,17
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,Plus Minus,21
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,Turns,53
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,Ds,13
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,Assists,43
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,Points,18
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,Plus Minus,21
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,Turns,6
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,Ds,5
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,Assists,3
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,Points,19
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,21
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,Turns,13
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,Ds,11
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,Assists,15
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,Points,8
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,Plus Minus,21
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,Turns,29
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,Ds,7
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,Assists,40
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,Points,3
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,Plus Minus,21
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,Turns,7
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,Ds,6
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,Assists,14
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,Points,8
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,Plus Minus,21
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,Turns,8
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,Ds,3
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,Assists,14
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,Points,11
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,Plus Minus,20
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,Turns,2
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,Ds,3
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,Assists,9
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,Points,10
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,Plus Minus,20
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,Turns,8
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,Ds,4
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,Assists,10
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,Points,14
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,Plus Minus,20
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,Turns,11
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,Ds,4
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,Assists,8
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,Points,19
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,Plus Minus,20
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,Turns,0
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,Ds,5
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,Assists,2
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,Points,13
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,Plus Minus,20
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,Turns,6
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,Ds,9
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,Assists,7
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,Points,10
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,Plus Minus,20
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,Turns,12
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,Ds,12
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,Assists,15
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,Points,5
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,Plus Minus,20
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,Turns,11
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,Ds,1
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,Assists,23
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,Points,7
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,Plus Minus,20
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,Turns,0
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,Ds,9
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,Assists,1
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,Points,10
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,Plus Minus,20
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,Turns,10
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,Ds,2
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,Assists,16
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,Points,12
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,Plus Minus,20
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Turns,38
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Ds,15
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Assists,19
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Points,23
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Plus Minus,19
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,Turns,7
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,Ds,2
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,Assists,8
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,Points,16
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,Plus Minus,19
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,Turns,2
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,Ds,4
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,Assists,5
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,Points,12
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,Plus Minus,19
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Turns,2
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Ds,6
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Assists,5
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Points,10
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Plus Minus,19
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,Turns,4
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,Ds,0
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,Assists,14
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,Points,9
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,19
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,Turns,1
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,Ds,1
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,Assists,3
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,Points,16
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,Plus Minus,19
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,Turns,2
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,Ds,2
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,Assists,6
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,Points,13
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,19
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,Turns,8
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,Ds,4
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,Assists,13
