player,level,gender,division,team_name,team_games
Annika Wolberg,D3,Women,Division 3 Women,Wellesley Whiptails,6
Amanda Roberts,D3,Women,Division 3 Women,Wellesley Whiptails,6
Adam McNichols,D1,Men,Division 1 Men,Oregon EGO,6
Aaron Bedi,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Vincent Sullivan,D3,Men,Division 3 Men,Middlebury Pranksters,5
Spencer Whitcomb,D1,Men,Division 1 Men,Penn State Spank,5
Sarah Rifkin,D3,Women,Division 3 Women,Middlebury Pranksters,5
Ryan Bliss,D1,Men,Division 1 Men,Vermont Chill,5
Riley Raker,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Rachel Prager,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Nobi (Masao) Lorenz,D1,Men,Division 1 Men,Carleton CUT,5
Nadav Melamede,D3,Men,Division 3 Men,Middlebury Pranksters,5
Monica O'Brien Saez,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Mitchell Gibson,D1,Men,Division 1 Men,Cal Ursa Major,5
Maxime Ayad,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Mars Bau,D1,Women,Division 1 Women,California - San Diego D-Co,5
Leo Narbonne,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Kristof Rohaly-Medved,D1,Men,Division 1 Men,Vermont Chill,5
Kiera Schreiber,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Joe Hess,D1,Men,Division 1 Men,Washington University Contra,5
Jack Schmader,D1,Men,Division 1 Men,Michigan Magnum,5
Gus Serff-Roberts,D1,Men,Division 1 Men,Oregon State Beavers,5
Gavin Babbitt,D1,Men,Division 1 Men,Texas TUFF,5
Galen Moll,D1,Men,Division 1 Men,Oregon State Beavers,5
Emma Wennberg,D1,Women,Division 1 Women,Pennsylvania Venus,5
Ellison Martin,D1,Women,Division 1 Women,Georgia Athena,5
Ellie Kowalski,D1,Women,Division 1 Women,Tufts EWO,5
Dylan Pearson,D1,Men,Division 1 Men,Cal Ursa Major,5
Charlotte Andreasen,D1,Women,Division 1 Women,Michigan Flywheel,5
Carter Neuman,D1,Men,Division 1 Men,Georgia Jojah,5
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,5
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,5
Sonia Rao,D1,Women,Division 1 Women,North Carolina Pleiades,7
Lisa Wei,D1,Women,Division 1 Women,North Carolina Pleiades,7
Isabel Myers-Miller,D1,Women,Division 1 Women,North Carolina Pleiades,7
Georgia Walker-Keleher,D1,Women,Division 1 Women,Stanford Superfly,7
Catherine Fradenburg,D1,Women,Division 1 Women,North Carolina Pleiades,7
Alison Brzostowicz,D1,Women,Division 1 Women,Colorado Quandary,7
William Ahlstrom,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Tyler Shelton,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Silas Camp,D3,Men,Division 3 Men,Berry Bucks,6
Sebastian Heredia,D3,Men,Division 3 Men,Claremont Braineaters,6
Sasha Monks,D3,Women,Division 3 Women,Carleton Eclipse,6
Sarah Malone,D3,Women,Division 3 Women,Colorado College Zenith,6
Sara Garcia,D3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,6
Robert McAllister,D1,Men,Division 1 Men,NC State Alpha,6
Rachel Poppleton,D3,Women,Division 3 Women,Carleton Eclipse,6
Nora Ito,D3,Women,Division 3 Women,Colorado College Zenith,6
Matt Fliegel,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Maria Muller,D1,Women,Division 1 Women,Vermont Ruckus,6
Mandy Li,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Madeline Wychocki,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Leah Silverman,D1,Women,Division 1 Women,Vermont Ruckus,6
Kenneth Stanley,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Julia Smith,D3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,6
Jamie Jung,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Jackson Knox (Oregon),D1,Men,Division 1 Men,Oregon EGO,6
Hiatt von Alten,D1,Men,Division 1 Men,NC State Alpha,6
Henry Chen,D1,Men,Division 1 Men,North Carolina Darkside,6
Ezra Tock,D3,Men,Division 3 Men,Rochester Piggies,6
Ethan Greeley,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Dylan Wilcox,D1,Women,Division 1 Women,Vermont Ruckus,6
Daniel Ferriter,D1,Men,Division 1 Men,NC State Alpha,6
Colin Pfister,D3,Men,Division 3 Men,Whitman Sweets,6
Carter Petrella,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Bryn Norton,D3,Women,Division 3 Women,Union Jillz,6
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,6
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,6
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,5
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,5
Will Troop,D1,Men,Division 1 Men,Carleton CUT,5
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,5
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,5
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,5
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,5
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Megan Louie,D1,Women,Division 1 Women,Washington Element,5
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,5
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,5
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,5
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,5
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,5
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,5
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,5
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,5
Isaac Trommer,D1,Men,Division 1 Men,Washington University Contra,5
Geir Hartl,D3,Men,Division 3 Men,Middlebury Pranksters,5
Fin Fuhrmann,D1,Men,Division 1 Men,Carleton CUT,5
Evan Medrow,D1,Men,Division 1 Men,Penn State Spank,5
Evan Kandell,D1,Men,Division 1 Men,Cal Ursa Major,5
Emily Dalley,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Emi Moreno,D1,Women,Division 1 Women,Western Washington Chaos,5
Constanza Capriles,D1,Women,Division 1 Women,Michigan Flywheel,5
Colby Bong,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Chanel van Ginkel,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Brooke Chomko,D1,Women,Division 1 Women,Tufts EWO,5
Bria Stocker,D1,Women,Division 1 Women,Michigan Flywheel,5
Brenden Gasper,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Breanna Campbell,D1,Women,Division 1 Women,Michigan Flywheel,5
Bradley Fleming,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Bobby Eleveld,D1,Men,Division 1 Men,Carleton CUT,5
Austin King,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Andie Madsen,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Carson Crouch,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,7
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,7
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,6
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,6
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,6
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,6
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,6
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,6
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,6
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,6
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Max Massey,D1,Men,Division 1 Men,Oregon EGO,6
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,6
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,6
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,6
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,6
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,6
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,6
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,6
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,6
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,6
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,6
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,6
Henry Currie,D3,Men,Division 3 Men,Whitman Sweets,6
Hayden Fahnhorst,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Hannah Hackenmueller,D1,Women,Division 1 Women,Carleton Syzygy,6
Graham Gordon,D3,Men,Division 3 Men,Carleton CHOP,6
Genesis Meadows,D3,Women,Division 3 Women,Richmond Red Hots,6
Evelyn Leduc,D1,Women,Division 1 Women,Carleton Syzygy,6
Elliot Green,D3,Men,Division 3 Men,Berry Bucks,6
Danny Shope,D3,Men,Division 3 Men,Carleton CHOP,6
Collin Pearson,D3,Men,Division 3 Men,Carleton CHOP,6
Charles Forster,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Caroline Lukasick,D3,Women,Division 3 Women,Union Jillz,6
Camryn Hines,D3,Women,Division 3 Women,Portland UPRoar,6
Bodhi Harmony,D1,Men,Division 1 Men,North Carolina Darkside,6
Audrey Deligan,D3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,6
Anna Eifert,D3,Women,Division 3 Women,Carleton Eclipse,6
Andrew Yeh,D3,Men,Division 3 Men,Carleton CHOP,6
Andrew Purcell,D3,Men,Division 3 Men,Berry Bucks,6
Ami Endo,D3,Men,Division 3 Men,Carleton CHOP,6
Allen MacMillan,D1,Men,Division 1 Men,NC State Alpha,6
Aidan Stark-Chessa,D3,Men,Division 3 Men,Bates Orange Whip,6
Aidan Byrne,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Adriel Portillo,D3,Men,Division 3 Men,Berry Bucks,6
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,7
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,7
Grace Mattox,D1,Women,Division 1 Women,Colorado Quandary,7
Wyatt Crow,D1,Men,Division 1 Men,Minnesota Grey Duck,5
William Cox,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
True Hanson,D1,Men,Division 1 Men,Vermont Chill,5
Tova Benson,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Tobias Paperno,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Theo Gobeil,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Terron Ross,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Samuel Teppo,D1,Men,Division 1 Men,Michigan Magnum,5
Samuel Laur,D1,Men,Division 1 Men,Cal Ursa Major,5
Sam Jordan,D1,Men,Division 1 Men,Oregon State Beavers,5
Ryan Reinhart,D1,Men,Division 1 Men,Texas TUFF,5
Rebecca Zhang,D1,Women,Division 1 Women,Michigan Flywheel,5
Rachel Katzovitz,D3,Women,Division 3 Women,St Olaf Vortex,5
Prunella Crombie Presberg,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Philippa Steinberg,D1,Women,Division 1 Women,Washington Element,5
Parissa Teli,D1,Women,Division 1 Women,California - San Diego D-Co,5
Noel Sierra,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Nima Lhamo,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Nico Christakos,D1,Men,Division 1 Men,Vermont Chill,5
Mikah Keetch,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Maya Beck-Kjer,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Max Zeltsar,D3,Men,Division 3 Men,Middlebury Pranksters,5
Mathis Turgeon-Roy,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Maisie Prendergast,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Madrona Maling,D1,Women,Division 1 Women,Washington Element,5
Madeline Trilling,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Madeline Scott,D1,Women,Division 1 Women,Pennsylvania Venus,5
Luke Cranor,D1,Men,Division 1 Men,Georgia Jojah,5
Leo Xiao,D1,Men,Division 1 Men,Carleton CUT,5
Leo Sarandos,D1,Men,Division 1 Men,Vermont Chill,5
Leo Jordan,D1,Men,Division 1 Men,Carleton CUT,5
Kyle Riley,D1,Men,Division 1 Men,Cal Ursa Major,5
KayAnna Williams,D3,Women,Division 3 Women,Davenport Panthers,5
Kai Hoadley,D3,Men,Division 3 Men,Middlebury Pranksters,5
Joshua Kolby,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Jose Dasilva,D1,Men,Division 1 Men,Michigan Magnum,5
John Williams,D1,Men,Division 1 Men,Penn State Spank,5
John Helgeson,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Jeremy Sanders,D1,Men,Division 1 Men,Georgia Jojah,5
Jemia Johnson,D1,Women,Division 1 Women,Georgia Athena,5
Jake Lyons,D3,Men,Division 3 Men,Middlebury Pranksters,5
Jacob Tindall,D1,Men,Division 1 Men,Washington University Contra,5
Jacob Croskey,D1,Men,Division 1 Men,Georgia Jojah,5
Jack Rice,D1,Men,Division 1 Men,Vermont Chill,5
Jack DiCola,D3,Men,Division 3 Men,Middlebury Pranksters,5
Isaac Fenster,D1,Men,Division 1 Men,Washington University Contra,5
Gretchen Berndt,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Grace Milhaupt,D3,Women,Division 3 Women,St Olaf Vortex,5
Ethan Zhang,D1,Men,Division 1 Men,Washington University Contra,5
Eric Johnson,D1,Men,Division 1 Men,Cal Ursa Major,5
Elsa Lindenmeyr,D1,Women,Division 1 Women,Western Washington Chaos,5
Ellie Crema,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Cindy Yang,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Char Batchelor,D3,Women,Division 3 Women,St Olaf Vortex,5
Carter Rathur,D1,Men,Division 1 Men,Georgia Jojah,5
Benji Feidler,D1,Men,Division 1 Men,Penn State Spank,5
Benjamin Deppen,D1,Men,Division 1 Men,Washington University Contra,5
Avery Smith,D3,Women,Division 3 Women,Davenport Panthers,5
Ariel Felcan,D1,Women,Division 1 Women,Tufts EWO,5
Annie McGarry,D3,Women,Division 3 Women,Middlebury Pranksters,5
Ananya Shaligram,D1,Women,Division 1 Women,California - San Diego D-Co,5
Amelicha Trinidad Gonzalez,D1,Women,Division 1 Women,Tufts EWO,5
Alexandra Flory,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Aidan DeLorenzo,D3,Men,Division 3 Men,Middlebury Pranksters,5
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,8
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,8
Cameron Curney,D1,Men,Division 1 Men,Brown Brownian Motion,8
Zoe Luke,D1,Women,Division 1 Women,Oregon Fugue,6
William Beyreis,D3,Men,Division 3 Men,Williams WUFO,6
William Anderson,D3,Men,Division 3 Men,Carleton CHOP,6
Thais Thomas,D1,Women,Division 1 Women,Oregon Fugue,6
Tejas Sivarajakumar,D1,Men,Division 1 Men,NC State Alpha,6
Sylvie Shaya,D3,Women,Division 3 Women,Wellesley Whiptails,6
Susannah Cornell,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Soren Severens,D3,Men,Division 3 Men,Whitman Sweets,6
Sophie Carpenter,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Sophie Addison,D3,Women,Division 3 Women,Colorado College Zenith,6
Simon Korotzer-Mariani,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Shane Keeton,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Serena Goldstone,D3,Women,Division 3 Women,Occidental WAC,6
Saxon Egge,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Sarah Trouwborst,D3,Women,Division 3 Women,Union Jillz,6
Samuel Redinbo,D1,Men,Division 1 Men,North Carolina Darkside,6
Sam Hussey,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Ruby Kauffman-Rosengarten,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Richard Dragicevich,D3,Men,Division 3 Men,Davenport Panthers,6
Riah Burrows,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Presley Smith,D3,Men,Division 3 Men,Williams WUFO,6
Peter Free,D3,Men,Division 3 Men,Franciscan Fatal,6
Pah Na,D3,Men,Division 3 Men,Carleton CHOP,6
Owen Haddad,D3,Men,Division 3 Men,Bates Orange Whip,6
Oliver Sumners,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Natalia Maahs,D3,Women,Division 3 Women,Colorado College Zenith,6
Mayana Ford,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
May Kinnamon,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Max Goetz,D1,Men,Division 1 Men,North Carolina Darkside,6
Matti Lee,D1,Men,Division 1 Men,NC State Alpha,6
Mackenzie Bunnell,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Luke Forrester,D3,Men,Division 3 Men,Franciscan Fatal,6
Luke Duan,D1,Men,Division 1 Men,North Carolina Darkside,6
Leo Dungan-Seaver,D3,Men,Division 3 Men,Whitman Sweets,6
Leah Hall,D1,Women,Division 1 Women,Oregon Fugue,6
Kiva Zimmerman,D3,Men,Division 3 Men,Williams WUFO,6
Katie Anderson,D3,Women,Division 3 Women,Portland UPRoar,6
Juraj Hurny,D3,Men,Division 3 Men,Davenport Panthers,6
John Cordier,D3,Men,Division 3 Men,Franciscan Fatal,6
Jasper Brown,D3,Men,Division 3 Men,Whitman Sweets,6
James Pekel,D3,Men,Division 3 Men,Davenport Panthers,6
Ian Hill,D3,Men,Division 3 Men,Rochester Piggies,6
Henry Weismann,D3,Men,Division 3 Men,Carleton CHOP,6
Hana Elawady,D3,Women,Division 3 Women,Portland UPRoar,6
Haley Hemeon,D1,Women,Division 1 Women,Vermont Ruckus,6
Gina Fiore,D3,Women,Division 3 Women,Wellesley Whiptails,6
Georgia Van der Linden,D1,Women,Division 1 Women,Oregon Fugue,6
Gaby Dominguez,D3,Women,Division 3 Women,Portland UPRoar,6
Eve Mullen,D3,Women,Division 3 Women,Carleton Eclipse,6
Eric Harnisher,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Emmett Warner,D1,Men,Division 1 Men,Oregon EGO,6
Emma Doty,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Emerson Jenen,D3,Men,Division 3 Men,Rochester Piggies,6
Clay Rosselot,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Clay Rasmussen,D3,Men,Division 3 Men,Claremont Braineaters,6
Bryelle Wong,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Benjamin Eichner,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Benjamin Canty,D3,Men,Division 3 Men,Whitman Sweets,6
Bella Kim-LaTona,D3,Women,Division 3 Women,Wellesley Whiptails,6
Beckett Sessums,D1,Men,Division 1 Men,Oregon EGO,6
Anthony Longo,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Annabella Wardle,D3,Women,Division 3 Women,Carleton Eclipse,6
Annabel Ewing,D3,Women,Division 3 Women,Occidental WAC,6
Andrew Schultz,D1,Men,Division 1 Men,NC State Alpha,6
Alexander Tayyeb,D1,Men,Division 1 Men,NC State Alpha,6
Alex Gran,D3,Men,Division 3 Men,Carleton CHOP,6
Aidan Williams,D3,Men,Division 3 Men,Davenport Panthers,6
Aidan Tow,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Wyatt Colburn,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Omar Semrin,D1,Men,Division 1 Men,Colorado Mambird,7
Leyla Williams,D1,Women,Division 1 Women,Colorado Quandary,7
Joseph Michaud,D1,Men,Division 1 Men,Colorado Mambird,7
Jolene Lee,D1,Women,Division 1 Women,Stanford Superfly,7
Devy Weir,D1,Women,Division 1 Women,Stanford Superfly,7
Daniel Estrin,D1,Men,Division 1 Men,Colorado Mambird,7
Will Christian,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Toby Graf,D3,Men,Division 3 Men,Middlebury Pranksters,5
Taylor Hanson,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Tatum Jenkins,D1,Women,Division 1 Women,Pennsylvania Venus,5
Surafel Sharpe,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Sophia Dellapenta,D1,Women,Division 1 Women,Western Washington Chaos,5
Sonai Donnell,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Scarlett Deveno,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Savina Dock,D3,Women,Division 3 Women,St Olaf Vortex,5
Sam Elliott,D1,Men,Division 1 Men,Carleton CUT,5
Sadie Schmitz,D1,Women,Division 1 Women,Tufts EWO,5
Ruby Warner,D3,Women,Division 3 Women,Middlebury Pranksters,5
Ruby Gholston,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
ruby Bond,D1,Women,Division 1 Women,Western Washington Chaos,5
Roberto Lombana,D1,Men,Division 1 Men,Penn State Spank,5
Riley Bong,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Reegan Ketzenberger,D1,Women,Division 1 Women,Michigan Flywheel,5
Rachel Eder,D1,Women,Division 1 Women,Western Washington Chaos,5
Quinn Lander,D1,Men,Division 1 Men,Carleton CUT,5
Peter Helgeson,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Paul Liang,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Parker Steele,D1,Men,Division 1 Men,Penn State Spank,5
Paige Robinson,D1,Women,Division 1 Women,Georgia Athena,5
Owen Doherty,D1,Men,Division 1 Men,Vermont Chill,5
Owen Cloutier,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Noah Schwalb,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Nick Amano,D1,Men,Division 1 Men,Michigan Magnum,5
Nicholas Lutz,D1,Men,Division 1 Men,Penn State Spank,5
Nathaniel Hodges,D1,Men,Division 1 Men,Penn State Spank,5
Nadav Berkman,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Molly Kaplan,D3,Women,Division 3 Women,Middlebury Pranksters,5
Michelle Tzou,D1,Women,Division 1 Women,Georgia Athena,5
Michael Coyne,D1,Men,Division 1 Men,Washington University Contra,5
Micah Tatro,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Micah Davis,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Megan Mathieu,D1,Women,Division 1 Women,Tufts EWO,5
Megan Blommel,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Maya Flynn,D1,Women,Division 1 Women,Washington Element,5
Maxwell Olesen,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Matthew Davidorf,D1,Men,Division 1 Men,Georgia Jojah,5
Marley Standard,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Madison Lodico,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Luke Knight,D1,Men,Division 1 Men,Texas TUFF,5
Lucy VanNewkirk,D3,Women,Division 3 Women,Middlebury Pranksters,5
Lucy Robertson,D1,Women,Division 1 Women,Victoria Vikes,5
logan krehbiel,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Lily Howard,D1,Women,Division 1 Women,Western Washington Chaos,5
Liam Reynolds,D3,Men,Division 3 Men,Middlebury Pranksters,5
Levi Dohman,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Leo Wolf,D1,Men,Division 1 Men,Oregon State Beavers,5
Leah Marquez,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Kong Hui Lim,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Kensley West,D1,Women,Division 1 Women,Georgia Athena,5
Kelly Tam,D1,Women,Division 1 Women,Washington Element,5
Kellen Watts,D1,Men,Division 1 Men,Texas TUFF,5
Kaitlyn Straight,D1,Women,Division 1 Women,California - San Diego D-Co,5
Kainoa Hottendorf,D1,Men,Division 1 Men,Cal Ursa Major,5
Joshua Wang,D1,Men,Division 1 Men,Michigan Magnum,5
Jaden Fielding,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Jaden Busch,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Ivan Kase,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Isaac Fuzat,D1,Men,Division 1 Men,Texas TUFF,5
Ian Grochocinski,D1,Men,Division 1 Men,Washington University Contra,5
Hazel Stringer,D3,Women,Division 3 Women,Middlebury Pranksters,5
Grady Welsh,D3,Men,Division 3 Men,Middlebury Pranksters,5
Georgia Smith,D1,Women,Division 1 Women,Victoria Vikes,5
Gaby Elkhoury,D1,Men,Division 1 Men,Georgia Jojah,5
Gabriel Gatewood-Wolfe,D1,Men,Division 1 Men,Cal Ursa Major,5
Forrest Williams,D1,Men,Division 1 Men,Vermont Chill,5
Forrest Vargyas,D1,Men,Division 1 Men,Oregon State Beavers,5
Evan Tompkins,D1,Men,Division 1 Men,Washington University Contra,5
Evan Lutz,D1,Men,Division 1 Men,Penn State Spank,5
Ethan Schiff,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Ethan Ode,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Ethan Landis,D1,Men,Division 1 Men,Penn State Spank,5
Emma Toussaint,D1,Women,Division 1 Women,California - San Diego D-Co,5
Emma Ellefson-Frank,D1,Women,Division 1 Women,California - San Diego D-Co,5
Emma Crump,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
