player,level,gender,division,team_name,team_games
Sophie Mullaney,D1,Women,Division 1 Women,Oregon Fugue,6
Sophie Havranek,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Sophie Acker,D1,Women,Division 1 Women,Vermont Ruckus,6
Sophia Nolan,D1,Women,Division 1 Women,Vermont Ruckus,6
Sofia Sinta,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Sofia Eden,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Sloan Senofsky,D3,Men,Division 3 Men,Claremont Braineaters,6
Sharan Sethi,D1,Men,Division 1 Men,Texas TUFF,5
Sebastian Boccieri,D1,Men,Division 1 Men,NC State Alpha,6
Sean Mickel,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Sawyer Linehan,D3,Men,Division 3 Men,Whitman Sweets,6
Sarah Laughlin,D1,Women,Division 1 Women,Colorado Quandary,7
Sarah Landman,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Samuel Williams,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Sam Schwartz,D1,Men,Division 1 Men,Washington University Contra,5
Saira Sukthankar,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Sadie Zweben,D1,Women,Division 1 Women,Georgia Athena,5
Sadie Cutler,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Ryan Perry,D3,Men,Division 3 Men,Berry Bucks,6
Ryan Hsi,D1,Men,Division 1 Men,Brown Brownian Motion,8
Ryan duSaire,D1,Men,Division 1 Men,Carleton CUT,5
Ruby Salisbury,D3,Women,Division 3 Women,Middlebury Pranksters,5
Ruby Gates,D1,Women,Division 1 Women,Stanford Superfly,7
Ruben Mendoza,D3,Men,Division 3 Men,Rochester Piggies,6
Rose Burtt,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Romy Holland,D3,Women,Division 3 Women,Portland UPRoar,6
Rishi Rajesh Jeswani,D1,Men,Division 1 Men,NC State Alpha,6
Riley Knupp,D1,Women,Division 1 Women,Vermont Ruckus,6
Ria Mandal,D1,Women,Division 1 Women,North Carolina Pleiades,7
Reese Rathur,D1,Women,Division 1 Women,Georgia Athena,5
Rebecca Lodespoto,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Rebecca Flax,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Ray Chen Hao,D1,Men,Division 1 Men,Michigan Magnum,5
Rafael Castillo,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Quinn O'Connor,D1,Men,Division 1 Men,Oregon State Beavers,5
Quinn Munson,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Quinn Frank,D3,Men,Division 3 Men,Bates Orange Whip,6
Piper Enderlein,D1,Women,Division 1 Women,Colorado Quandary,7
Patrick Fontenot,D3,Men,Division 3 Men,Franciscan Fatal,6
Parker Shahdad,D1,Men,Division 1 Men,NC State Alpha,6
Paige Jenkins,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Owen Schigiel,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Owen Gin,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Olivia Mayfryer,D1,Women,Division 1 Women,Pennsylvania Venus,5
Olivia Crump,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Oliver Kahn,D1,Men,Division 1 Men,Brown Brownian Motion,8
Olive Loewer,D3,Women,Division 3 Women,St Olaf Vortex,5
Nomi Zeidenberg,D1,Women,Division 1 Women,Carleton Syzygy,6
Noah Pershing,D3,Men,Division 3 Men,Claremont Braineaters,6
Noah Kaller,D1,Men,Division 1 Men,Washington University Contra,5
Noah Bush,D1,Men,Division 1 Men,North Carolina Darkside,6
Nicole Luparello,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Nicole Carvalho,D3,Women,Division 3 Women,Davenport Panthers,5
Nicole Achen,D1,Women,Division 1 Women,Western Washington Chaos,5
Nick Canavan,D3,Men,Division 3 Men,Franciscan Fatal,6
Nicholas Alfonso,D1,Men,Division 1 Men,Michigan Magnum,5
Nghia Warren,D1,Women,Division 1 Women,Oregon Fugue,6
Nathaniel Scott-Avery,D3,Men,Division 3 Men,Franciscan Fatal,6
Nathan Winiarski,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Nathan Parker,D1,Men,Division 1 Men,Carleton CUT,5
Nathan Kallin,D1,Men,Division 1 Men,Carleton CUT,5
Nate Ackerman,D1,Men,Division 1 Men,Washington University Contra,5
Miranda Baltaxe,D1,Women,Division 1 Women,Michigan Flywheel,5
Min Lim,D1,Men,Division 1 Men,North Carolina Darkside,6
Miles Frank,D3,Men,Division 3 Men,Rochester Piggies,6
Micah Delattre,D1,Men,Division 1 Men,Penn State Spank,5
Mia Andreeva,D1,Women,Division 1 Women,Washington Element,5
Megan Buchsbaum,D1,Women,Division 1 Women,North Carolina Pleiades,7
Meagan Gillis,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Maximilian Dewberry,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Max Van Sickle,D1,Men,Division 1 Men,Colorado Mambird,7
Max Posner,D1,Men,Division 1 Men,Carleton CUT,5
Max Karnik,D1,Men,Division 1 Men,Michigan Magnum,5
Max Cowie,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Matthew Xia,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Matilda Pro,D1,Women,Division 1 Women,Carleton Syzygy,6
Matias Lee,D1,Men,Division 1 Men,Brown Brownian Motion,8
Martha Plaehn,D1,Women,Division 1 Women,North Carolina Pleiades,7
Mark Chow,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Makena Johnson,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Maggie Walsh,D3,Women,Division 3 Women,St Olaf Vortex,5
Maeve Magura Comey,D1,Women,Division 1 Women,Michigan Flywheel,5
Madeline Fealy,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Maddy Grassy,D1,Women,Division 1 Women,Washington Element,5
Lyle Hahn,D3,Men,Division 3 Men,Whitman Sweets,6
Luke Surovec,D3,Men,Division 3 Men,Franciscan Fatal,6
Luke Howey,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Luke Goeddeke,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Luke Gochis,D1,Men,Division 1 Men,Penn State Spank,5
Lucy Wylie,D1,Women,Division 1 Women,Georgia Athena,5
Lucius Christie,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Lucas Henry,D1,Men,Division 1 Men,Oregon State Beavers,5
Luca Stuccio,D1,Men,Division 1 Men,Vermont Chill,5
Loren Griffin,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Lily Terpstra,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Lily Snyder,D3,Women,Division 3 Women,Occidental WAC,6
Lily Matthews-Needelman,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Lillian Nelson,D1,Women,Division 1 Women,Western Washington Chaos,5
Lili Gudgel,D3,Women,Division 3 Women,Portland UPRoar,6
Liam Gilpin,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Liam Atkins,D3,Men,Division 3 Men,Carleton CHOP,6
Leonardo Tapia,D1,Men,Division 1 Men,NC State Alpha,6
Leo Cogan-Drew,D1,Men,Division 1 Men,Carleton CUT,5
Lemi Henderson,D1,Men,Division 1 Men,NC State Alpha,6
Lauren Moore,D1,Women,Division 1 Women,Michigan Flywheel,5
Laura Brodkey,D1,Women,Division 1 Women,Pennsylvania Venus,5
Kylee Sipkema,D3,Women,Division 3 Women,Davenport Panthers,5
Kyle Incollingo,D1,Men,Division 1 Men,Penn State Spank,5
Kyla Christie,D3,Women,Division 3 Women,Carleton Eclipse,6
Kofi Reeves-Miller,D1,Men,Division 1 Men,Georgia Jojah,5
kirah Clay,D3,Women,Division 3 Women,Davenport Panthers,5
Kira Romberg,D3,Women,Division 3 Women,Wellesley Whiptails,6
Killian Reilly,D3,Men,Division 3 Men,Williams WUFO,6
Kika Larrick,D1,Women,Division 1 Women,North Carolina Pleiades,7
Kezha Neale-Sacks,D1,Women,Division 1 Women,California - San Diego D-Co,5
Kenji Her,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Kemble Rains,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Kelvin Lei,D1,Men,Division 1 Men,Penn State Spank,5
Keller Fraley,D1,Men,Division 1 Men,North Carolina Darkside,6
Keira Lanegraff,D1,Women,Division 1 Women,Oregon Fugue,6
Keagan Gustin,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Kayla Harrison,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Kathryn Lawrence,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Katelyn Osborne,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Kate Philson,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Karthik Subbiah,D3,Men,Division 3 Men,Williams WUFO,6
Kallie Hansel-Tennes,D1,Women,Division 1 Women,Oregon Fugue,6
Kaia Emery,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Kaeden Ireland,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Justine Martinez,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Julius Clyburn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Julian Walston,D1,Men,Division 1 Men,Carleton CUT,5
Jovan Strange,D1,Men,Division 1 Men,Vermont Chill,5
Joseph Thachet,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Jonathan Blake,D3,Men,Division 3 Men,Berry Bucks,6
Jonah Feinstein,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Jonah Carrero,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Johnny Russell,D3,Men,Division 3 Men,Claremont Braineaters,6
John Rickel,D1,Men,Division 1 Men,NC State Alpha,6
John Liaz,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
John Drury,D3,Men,Division 3 Men,Berry Bucks,6
Jillian Fischer,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Jessie Lew,D1,Women,Division 1 Women,Oregon Fugue,6
Jeremy Kaufman,D3,Men,Division 3 Men,Claremont Braineaters,6
Jasper Priest,D1,Men,Division 1 Men,Carleton CUT,5
Jason Gutstadt,D1,Men,Division 1 Men,Oregon EGO,6
Janey Hyde,D1,Women,Division 1 Women,Western Washington Chaos,5
James Texter,D3,Men,Division 3 Men,Carleton CHOP,6
Jake Schmidt,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Jake Magner,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Jaine Paradis,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Jae Lee,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Jacob Leichter Wilson,D3,Men,Division 3 Men,Claremont Braineaters,6
Jacob Green,D1,Men,Division 1 Men,NC State Alpha,6
Jack Weinberg,D1,Men,Division 1 Men,Oregon State Beavers,5
Jack Walters-Medaris,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Jack Waitz,D3,Men,Division 3 Men,Middlebury Pranksters,5
Jack Stephenson,D1,Men,Division 1 Men,Georgia Jojah,5
Jack Sheehan,D3,Men,Division 3 Men,Claremont Braineaters,6
Jack Hartingh,D1,Men,Division 1 Men,NC State Alpha,6
Issandro Trenard,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Isaac Degenholtz,D3,Men,Division 3 Men,Rochester Piggies,6
Ilah Mittelstaedt,D1,Women,Division 1 Women,Western Washington Chaos,5
Ila Charendoff,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Huy Nguyen,D1,Men,Division 1 Men,Texas TUFF,5
Hugh Finnigan,D1,Men,Division 1 Men,Michigan Magnum,5
Henry Nieckarz,D3,Men,Division 3 Men,Carleton CHOP,6
Henry Geffert,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Helena Hess,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Helen Sweeney,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Hayden Naylor,D1,Men,Division 1 Men,North Carolina Darkside,6
Gwen Murray,D1,Women,Division 1 Women,Western Washington Chaos,5
Griffin Gee,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Griffin Campion,D3,Men,Division 3 Men,Claremont Braineaters,6
Grant Goodale,D1,Men,Division 1 Men,Vermont Chill,5
