tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
Adelaide 1,Hard,Loser,Quentin Halys,64,R,191,FRA,26.1,3,115,11,2,82,48,39,16,12,4,5
Adelaide 1,Hard,Winner,Denis Shapovalov,18,L,185,CAN,23.7,3,81,7,2,44,25,21,13,9,0,1
Adelaide 1,Hard,Loser,Roman Safiullin,88,R,185,RUS,25.4,3,81,3,3,70,45,29,11,10,7,11
Adelaide 1,Hard,Winner,Daniil Medvedev,7,R,198,RUS,26.8,3,67,7,3,51,38,29,7,8,1,1
Adelaide 1,Hard,Loser,Miomir Kecmanovic,29,R,183,SRB,23.3,3,67,0,0,42,31,13,6,7,3,7
Adelaide 1,Hard,Winner,Karen Khachanov,20,R,198,RUS,26.6,3,91,7,1,53,39,32,9,9,1,1
Adelaide 1,Hard,Loser,Jack Draper,42,L,191,GBR,21,3,91,6,3,67,36,20,17,9,6,9
Adelaide 1,Hard,Winner,Jannik Sinner,15,R,188,ITA,21.3,3,122,5,2,78,58,40,12,11,6,7
Adelaide 1,Hard,Loser,Thanasi Kokkinakis,93,R,196,AUS,26.7,3,122,9,3,72,45,33,13,11,1,3
Adelaide 1,Hard,Winner,Sebastian Korda,33,R,196,USA,22.4,3,73,12,0,57,41,33,10,10,2,2
Adelaide 1,Hard,Loser,Roberto Bautista Agut,21,R,183,ESP,34.7,3,73,5,3,47,26,20,12,10,0,2
Adelaide 1,Hard,Winner,Yoshihito Nishioka,36,L,170,JPN,27.2,3,95,0,2,72,49,29,17,9,4,4
Adelaide 1,Hard,Loser,Mackenzie Mcdonald,63,R,178,USA,27.7,3,95,3,2,57,36,26,8,10,1,4
Adelaide 1,Hard,Winner,Alexei Popyrin,120,R,196,AUS,23.4,3,112,16,1,83,58,49,13,15,2,3
Adelaide 1,Hard,Loser,Marcos Giron,61,R,180,USA,29.4,3,112,4,0,79,61,43,11,14,1,3
Adelaide 1,Hard,Winner,Novak Djokovic,5,R,188,SRB,35.6,3,74,4,2,47,29,25,13,9,1,1
Adelaide 1,Hard,Loser,Constant Lestienne,65,R,180,FRA,30.6,3,74,3,1,56,39,22,10,8,5,8
Adelaide 1,Hard,Winner,Quentin Halys,64,R,191,FRA,26.1,3,76,14,2,47,30,27,13,10,0,0
Adelaide 1,Hard,Loser,Jordan Thompson,84,R,183,AUS,28.7,3,76,5,4,65,38,26,12,9,3,5
Adelaide 1,Hard,Winner,Roman Safiullin,88,R,185,RUS,25.4,3,94,4,3,65,40,31,13,9,5,5
Adelaide 1,Hard,Loser,Mikael Ymer,69,R,183,SWE,24.3,3,94,2,3,61,36,20,13,9,5,8
Adelaide 1,Hard,Winner,Denis Shapovalov,18,L,185,CAN,23.7,3,120,7,9,77,42,30,18,13,5,8
Adelaide 1,Hard,Loser,Rinky Hijikata,164,U,NA,AUS,21.8,3,120,2,5,93,58,43,12,14,8,12
Adelaide 1,Hard,Winner,Daniil Medvedev,7,R,198,RUS,26.8,3,102,5,2,70,45,30,15,8,9,10
Adelaide 1,Hard,Loser,Lorenzo Sonego,45,R,191,ITA,27.6,3,102,1,1,57,32,25,11,7,3,4
Adelaide 1,Hard,Winner,Miomir Kecmanovic,29,R,183,SRB,23.3,3,94,4,4,74,42,24,23,10,5,6
Adelaide 1,Hard,Loser,Christopher Oconnell,78,R,183,AUS,28.5,3,94,9,2,55,31,23,9,10,2,5
Adelaide 1,Hard,Winner,Jack Draper,42,L,191,GBR,21,3,68,8,2,35,18,16,13,7,3,3
Adelaide 1,Hard,Loser,Soon Woo Kwon,83,R,180,KOR,25,3,68,2,3,52,24,12,10,8,7,12
Adelaide 1,Hard,Winner,Karen Khachanov,20,R,198,RUS,26.6,3,85,6,3,61,34,30,12,9,6,7
Adelaide 1,Hard,Loser,Pedro Cachin,57,R,185,ARG,27.7,3,85,3,2,57,40,24,6,9,8,12
Adelaide 1,Hard,Winner,Jannik Sinner,15,R,188,ITA,21.3,3,65,5,1,41,25,23,13,9,0,0
Adelaide 1,Hard,Winner,Thanasi Kokkinakis,93,R,196,AUS,26.7,3,131,21,0,72,52,45,13,12,3,4
Adelaide 1,Hard,Loser,Maxime Cressy,34,R,198,USA,25.6,3,131,20,8,82,50,38,19,12,5,6
Adelaide 1,Hard,Winner,Sebastian Korda,33,R,196,USA,22.4,3,116,12,1,64,39,34,14,11,4,5
Adelaide 1,Hard,Loser,Andy Murray,49,R,190,GBR,35.6,3,116,3,2,69,36,27,14,10,3,5
Adelaide 1,Hard,Winner,Roberto Bautista Agut,21,R,183,ESP,34.7,3,109,8,1,79,54,40,17,15,2,4
Adelaide 1,Hard,Loser,Andrey Rublev,8,R,188,RUS,25.2,3,109,15,6,81,52,40,11,14,2,5
Adelaide 1,Hard,Winner,Yoshihito Nishioka,36,L,170,JPN,27.2,3,125,0,8,86,54,36,16,14,5,9
Adelaide 1,Hard,Loser,Holger Rune,11,R,185,DEN,19.6,3,125,14,8,95,57,40,16,14,7,11
Adelaide 1,Hard,Winner,Mackenzie Mcdonald,63,R,178,USA,27.7,3,40,4,1,20,14,14,2,4,0,0
Adelaide 1,Hard,Loser,Daniel Elahi Galan,67,R,191,COL,26.5,3,40,2,1,39,25,16,6,5,0,2
Adelaide 1,Hard,Winner,Marcos Giron,61,R,180,USA,29.4,3,177,13,2,110,76,59,23,18,2,3
Adelaide 1,Hard,Loser,Richard Gasquet,68,R,185,FRA,36.5,3,177,10,4,139,74,51,38,18,10,12
Adelaide 1,Hard,Winner,Alexei Popyrin,120,R,196,AUS,23.4,3,114,11,2,67,45,35,13,11,1,2
Adelaide 1,Hard,Loser,Felix Auger Aliassime,6,R,193,CAN,22.4,3,114,7,2,66,45,33,11,11,2,4
Pune,Hard,Winner,Tallon Griekspoor,95,R,188,NED,26.5,3,136,17,4,86,61,48,13,15,3,4
Pune,Hard,Loser,Benjamin Bonzi,60,R,185,FRA,26.5,3,136,11,4,102,66,47,18,16,4,7
Pune,Hard,Winner,Tallon Griekspoor,95,R,188,NED,26.5,3,81,11,2,53,36,32,13,10,0,0
Pune,Hard,Loser,Aslan Karatsev,59,R,185,RUS,29.3,3,81,3,5,59,31,22,14,9,3,5
Pune,Hard,Winner,Benjamin Bonzi,60,R,185,FRA,26.5,3,149,10,3,101,71,54,16,16,0,2
Pune,Hard,Loser,Botic Van De Zandschulp,35,R,188,NED,27.2,3,149,9,3,106,69,49,17,15,7,11
Pune,Hard,Winner,Tallon Griekspoor,95,R,188,NED,26.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pune,Hard,Winner,Aslan Karatsev,59,R,185,RUS,29.3,3,73,13,3,58,40,33,6,8,5,5
Pune,Hard,Loser,Pedro Martinez,62,R,185,ESP,25.6,3,73,1,3,44,26,15,6,7,4,8
Pune,Hard,Winner,Benjamin Bonzi,60,R,185,FRA,26.5,3,125,7,0,77,46,30,15,11,2,5
Pune,Hard,Loser,Filip Krajinovic,54,R,185,SRB,30.8,3,125,6,3,90,50,29,20,11,10,14
Pune,Hard,Winner,Botic Van De Zandschulp,35,R,188,NED,27.2,3,67,3,1,44,34,29,7,9,0,0
Pune,Hard,Loser,Maximilian Marterer,159,L,191,GER,27.5,3,67,1,1,51,37,22,7,9,2,5
Pune,Hard,Loser,Roberto Carballes Baena,74,R,183,ESP,29.7,3,122,3,3,74,40,26,18,12,4,7
Pune,Hard,Winner,Tallon Griekspoor,95,R,188,NED,26.5,3,75,7,2,54,35,29,14,10,0,0
Pune,Hard,Loser,Marco Cecchinato,101,R,185,ITA,30.2,3,75,3,3,58,36,25,12,10,3,5
